run_id,K,bin_width,va_pct,va_expansion_rule,construction,placebo_type,timestamp,git_sha
placebo_shuffled_06_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401774+00:00,583018da
placebo_shuffled_07_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401781+00:00,583018da
placebo_shuffled_08_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401789+00:00,583018da
placebo_shuffled_09_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401795+00:00,583018da
placebo_shuffled_10_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401800+00:00,583018da
placebo_shuffled_11_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401805+00:00,583018da
placebo_shuffled_12_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401810+00:00,583018da
placebo_shuffled_13_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401814+00:00,583018da
placebo_shuffled_14_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401819+00:00,583018da
placebo_shuffled_15_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401823+00:00,583018da
placebo_shuffled_16_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401827+00:00,583018da
placebo_shuffled_17_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401832+00:00,583018da
placebo_shuffled_18_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401837+00:00,583018da
placebo_shuffled_19_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401842+00:00,583018da
placebo_shuffled_20_K15,15,1.0,0.7,paired,bar_uniform,shuffled_rel,2026-08-07T05:04:20.401881+00:00,583018da
job2_accepted_K5,5,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_accepted_K10,10,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_accepted_K15,15,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_accepted_K20,20,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_accepted_K30,30,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_accepted_K45,45,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_accepted_K60,60,1.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_surface_bin_width_0.25,15,0.25,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_surface_bin_width_2.0,15,2.0,0.7,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_surface_va_pct_0.68,15,1.0,0.68,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_surface_va_pct_0.75,15,1.0,0.75,paired,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_surface_expansion_single,15,1.0,0.7,single,bar_uniform,none,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_stale5d,15,1.0,0.7,paired,bar_uniform,stale_5d,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_001,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_002,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_003,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_004,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_005,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_006,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_007,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_008,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_009,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_010,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_011,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_012,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_013,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_014,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_015,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_016,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_017,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_018,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_019,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_020,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_021,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_022,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_023,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_024,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_025,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_026,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_027,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_028,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_029,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_030,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_031,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_032,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_033,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_034,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_035,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_036,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_037,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_038,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_039,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
