tag,side,K,outcome,lift,ci_lo,ci_hi,n_cond_exc,n_cond_clusters,powered,null_spanning
2025H2,below,5,poc_before_stop_10,0.0845535336436733,0.05714990668566289,0.11964678049059765,170,125,True,False
2025H2,below,5,poc_before_stop_20,0.10118493440541682,0.06640856960506226,0.14028642663050872,170,125,True,False
2025H2,below,5,poc_before_stop_30,0.09462547608971644,0.05992570453203231,0.135293691295836,170,125,True,False
2025H2,below,5,poc_before_stop_40,0.09589504866694881,0.05160072055137843,0.14157087206616817,170,125,True,False
2025H2,below,5,poc_before_stop_60,0.08603470165044436,0.03681356213556047,0.1324403186678043,170,125,True,False
2025H2,below,5,poc_before_stop_80,0.05886584849767246,0.010194454759455327,0.10966880060350902,170,125,True,False
2025H2,below,10,touched_poc,0.06755211215642865,0.02929163583788573,0.10815636014928459,195,142,True,False
2025H2,below,10,reached_opposite_edge,0.04334993543626636,0.00797491574102866,0.08129627059801947,195,142,True,False
2025H2,below,10,poc_before_stop_10,0.056650064563733615,0.03804165480680282,0.07982790105078125,195,142,True,False
2025H2,below,10,poc_before_stop_20,0.07448810182623133,0.04954456787740566,0.10102749951655299,195,142,True,False
2025H2,below,10,poc_before_stop_30,0.07441431470208448,0.04701528744575424,0.10471969266959744,195,142,True,False
2025H2,below,10,poc_before_stop_40,0.08352702453421879,0.05384946564707226,0.11630065856129689,195,142,True,False
2025H2,below,10,poc_before_stop_60,0.08950378159011252,0.05507900798887337,0.12589577145584244,195,142,True,False
2025H2,below,10,poc_before_stop_80,0.07756871425936168,0.040229483030761855,0.11694897655636192,195,142,True,False
2025H2,below,15,touched_poc,0.06146236856668508,0.027629147891388855,0.09670117805738862,208,150,True,False
2025H2,below,15,reached_opposite_edge,0.046555063641394556,0.015727632585780648,0.07955215564486663,208,150,True,False
2025H2,below,15,poc_before_stop_10,0.04479109020475927,0.028308977864704602,0.06297239430540877,208,150,True,False
2025H2,below,15,poc_before_stop_20,0.05814194798007746,0.03806339787078905,0.07987177992347322,208,150,True,False
2025H2,below,15,poc_before_stop_30,0.060632263420033194,0.03672993845860972,0.08658591118274304,208,150,True,False
2025H2,below,15,poc_before_stop_40,0.07038599889319314,0.04316877182706094,0.09961158689373147,208,150,True,False
2025H2,below,15,poc_before_stop_60,0.07540121748754841,0.04404919980761847,0.10564439180656218,208,150,True,False
2025H2,below,15,poc_before_stop_80,0.0695558937465412,0.0377461622836222,0.10296096132761963,208,150,True,False
2025H2,below,20,touched_poc,0.06926935515807531,0.03795316221113429,0.1020577540493719,218,155,True,False
2025H2,below,20,reached_opposite_edge,0.04593756187710385,0.019259373349762385,0.0759901840398926,218,155,True,False
2025H2,below,20,poc_before_stop_10,0.036631245462345724,0.02332436744606348,0.051681467453229754,218,155,True,False
2025H2,below,20,poc_before_stop_20,0.04689459441621016,0.029809813682897243,0.06732411022767809,218,155,True,False
2025H2,below,20,poc_before_stop_30,0.05679493102765493,0.03754775327247236,0.07886409147886533,218,155,True,False
2025H2,below,20,poc_before_stop_40,0.0680483136426639,0.04585591587820533,0.09143218001331352,218,155,True,False
2025H2,below,20,poc_before_stop_60,0.07346049765692036,0.048058283384254934,0.1020904774230979,218,155,True,False
2025H2,below,20,poc_before_stop_80,0.0647482014388489,0.03525503793745181,0.09402091534319712,218,155,True,False
2025H2,below,30,touched_poc,0.061610623395556674,0.03245804441308153,0.08947908382399967,227,161,True,False
2025H2,below,30,reached_opposite_edge,0.03837986879219091,0.014585699036050007,0.06418489239775314,227,161,True,False
2025H2,below,30,poc_before_stop_10,0.029902069533800257,0.018643402202130212,0.042968240916002085,227,161,True,False
2025H2,below,30,poc_before_stop_20,0.042024530155611195,0.027675912719927538,0.058761083657383605,227,161,True,False
2025H2,below,30,poc_before_stop_30,0.05010617057015182,0.03416858958975274,0.06856285999911559,227,161,True,False
2025H2,below,30,poc_before_stop_40,0.06303679523341682,0.044806186864399314,0.08457977891402785,227,161,True,False
2025H2,below,30,poc_before_stop_60,0.07362215954108958,0.05122797985269367,0.09966007200789376,227,161,True,False
2025H2,below,30,poc_before_stop_80,0.06254555826704272,0.03643850964992974,0.08959405892140944,227,161,True,False
2025H2,below,45,touched_poc,0.05877332032678939,0.032942624589923745,0.0866122302292482,236,168,True,False
2025H2,below,45,reached_opposite_edge,0.04411047433239851,0.023822281062424417,0.0661066603833436,236,168,True,False
2025H2,below,45,poc_before_stop_10,0.02368613583709303,0.014812636054619154,0.034326006274800154,236,168,True,False
2025H2,below,45,poc_before_stop_20,0.033288623338617235,0.02227802293834974,0.0471219428655538,236,168,True,False
2025H2,below,45,poc_before_stop_30,0.03969028167296673,0.02654675030840792,0.05566823718685359,236,168,True,False
2025H2,below,45,poc_before_stop_40,0.049932935007925894,0.03467879913149556,0.06725562002223204,236,168,True,False
2025H2,below,45,poc_before_stop_60,0.06529691501036461,0.046741680085883,0.08690559486798634,236,168,True,False
