block,outcome,n,k,p,wilson_lo,wilson_hi
2025H2|below|per_excursion|UNCOND,median_t_touched_poc,158,,19.5,,
2025H2|below|per_excursion|failed_5,touched_poc,170,103.0,0.6058823529411764,0.5308631101260811,0.6762219604208995
2025H2|below|per_excursion|failed_5,reached_opposite_edge,170,65.0,0.38235294117647056,0.3126653266721371,0.45724015049788425
2025H2|below|per_excursion|failed_5,poc_before_stop_10,170,37.0,0.21764705882352942,0.16222819151977622,0.28554495368827515
2025H2|below|per_excursion|failed_5,poc_before_stop_20,170,49.0,0.28823529411764703,0.22542058243352375,0.3604092764725147
2025H2|below|per_excursion|failed_5,poc_before_stop_30,170,54.0,0.3176470588235294,0.2523515490175704,0.3910019405959627
2025H2|below|per_excursion|failed_5,poc_before_stop_40,170,64.0,0.3764705882352941,0.30712532979854484,0.4512754212299776
2025H2|below|per_excursion|failed_5,poc_before_stop_60,170,77.0,0.45294117647058824,0.3799762742288018,0.5279859166392066
2025H2|below|per_excursion|failed_5,poc_before_stop_80,170,84.0,0.49411764705882355,0.4199252194213575,0.5685700544371436
2025H2|below|per_excursion|failed_5,median_t_touched_poc,103,,12.0,,
2025H2|below|per_excursion|failed_10,touched_poc,195,124.0,0.6358974358974359,0.5663386121399357,0.7002052096760222
2025H2|below|per_excursion|failed_10,reached_opposite_edge,195,80.0,0.41025641025641024,0.34359886919295923,0.48038162583423827
2025H2|below|per_excursion|failed_10,poc_before_stop_10,195,37.0,0.18974358974358974,0.1409089829934304,0.25056644267202394
2025H2|below|per_excursion|failed_10,poc_before_stop_20,195,51.0,0.26153846153846155,0.20488708566569847,0.3274039439779979
2025H2|below|per_excursion|failed_10,poc_before_stop_30,195,58.0,0.29743589743589743,0.2376897543033914,0.36500907732942584
2025H2|below|per_excursion|failed_10,poc_before_stop_40,195,71.0,0.3641025641025641,0.2997947903239778,0.43366138786006414
2025H2|below|per_excursion|failed_10,poc_before_stop_60,195,89.0,0.4564102564102564,0.38801386644725455,0.5264909454230985
2025H2|below|per_excursion|failed_10,poc_before_stop_80,195,100.0,0.5128205128205128,0.44309720706039324,0.58204843650715
2025H2|below|per_excursion|failed_10,median_t_touched_poc,124,,13.0,,
2025H2|below|per_excursion|failed_15,touched_poc,208,131.0,0.6298076923076923,0.562387957095801,0.6925194831803299
2025H2|below|per_excursion|failed_15,reached_opposite_edge,208,86.0,0.41346153846153844,0.3486966034711957,0.4813651030113838
