block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|clustered|accepted_30,cont_before_reentry_0.5,95,82,0.8631578947368421,0.7798337965846013,0.9182528390020345
FIT|above|clustered|accepted_30,cont_before_reentry_0.75,95,68,0.7157894736842105,0.6180880088754301,0.7967170934296721
FIT|above|clustered|accepted_30,cont_before_reentry_1.0,95,54,0.5684210526315789,0.46808026950252796,0.6634432995210411
FIT|above|clustered|accepted_30,cont_before_reentry_1.5,95,40,0.42105263157894735,0.326736570637716,0.5215054651043198
FIT|above|clustered|accepted_30,cont_before_reentry_2.0,95,24,0.25263157894736843,0.1760442180666685,0.3484474939250436
FIT|above|clustered|accepted_30,cont_before_stop_10,95,38,0.4,0.30722742667775993,0.5005458185954855
FIT|above|clustered|accepted_30,cont_before_stop_20,95,45,0.47368421052631576,0.37626571872029346,0.5731482931937185
FIT|above|clustered|accepted_30,cont_before_stop_30,95,49,0.5157894736842106,0.41665045171484527,0.6137011411367477
FIT|above|clustered|accepted_30,cont_before_stop_40,95,50,0.5263157894736842,0.4268517068062815,0.6237342812797065
FIT|above|clustered|accepted_30,cont_before_stop_60,95,53,0.5578947368421052,0.45770915955965324,0.6535800142295204
FIT|above|clustered|accepted_30,cont_before_stop_80,95,55,0.5789473684210527,0.4784945348956803,0.673263429362284
FIT|above|clustered|accepted_30,returned_to_poc,95,36,0.37894736842105264,0.28789651358466833,0.4794079412197865
FIT|above|clustered|accepted_45,cont_before_reentry_0.25,84,83,0.9880952380952381,0.9356030079821146,0.9978954710984119
FIT|above|clustered|accepted_45,cont_before_reentry_0.5,84,74,0.8809523809523809,0.7945489613310683,0.9340352174634889
FIT|above|clustered|accepted_45,cont_before_reentry_0.75,84,64,0.7619047619047619,0.6606473307381485,0.8402542921831097
FIT|above|clustered|accepted_45,cont_before_reentry_1.0,84,53,0.6309523809523809,0.5241504160580661,0.7263003954025629
FIT|above|clustered|accepted_45,cont_before_reentry_1.5,84,40,0.47619047619047616,0.3727826732247559,0.5816808156005842
FIT|above|clustered|accepted_45,cont_before_reentry_2.0,84,24,0.2857142857142857,0.20014898610655452,0.3900224133215068
FIT|above|clustered|accepted_45,cont_before_stop_10,84,37,0.44047619047619047,0.3392278217957345,0.5469309002676157
FIT|above|clustered|accepted_45,cont_before_stop_20,84,44,0.5238095238095238,0.41831918439941584,0.6272173267752441
FIT|above|clustered|accepted_45,cont_before_stop_30,84,48,0.5714285714285714,0.4647675967027547,0.6718419368212247
FIT|above|clustered|accepted_45,cont_before_stop_40,84,49,0.5833333333333334,0.4765244867612664,0.6828533023500432
FIT|above|clustered|accepted_45,cont_before_stop_60,84,52,0.6190476190476191,0.5121524397704628,0.7155301161028366
FIT|above|clustered|accepted_45,cont_before_stop_80,84,54,0.6428571428571429,0.5362111603479548,0.7370079067000043
FIT|above|clustered|accepted_45,returned_to_poc,84,27,0.32142857142857145,0.23125977350162447,0.42721639268842665
FIT|above|clustered|accepted_60,cont_before_reentry_0.25,73,72,0.9863013698630136,0.9264008673087267,0.9975778109072393
