mo,lvltype,level,dir,risk,maxfav,stopped,cvd,hit30,hit50,hit80,hit100,hit150
2026-04,BB,BBlower^VAL,short,25.5,108.0,True,False,True,True,True,True,False
2026-04,BB,BBlower^VAL,long,21.75,14.8,True,True,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,14.75,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^VAL,short,12.5,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^VAL,long,8.88,15.6,True,True,False,False,False,False,False
2026-04,BB,BBbasis^VAH,short,12.25,23.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^VAH,short,9.5,0.0,True,True,False,False,False,False,False
2026-04,BB,BBbasis^VAH,long,13.88,18.4,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,long,24.5,0.0,True,False,False,False,False,False,False
2026-04,BB,BBlower^VAH,long,16.12,14.4,True,True,False,False,False,False,False
2026-04,BB,BBlower^VAH,long,10.0,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^VAH,long,14.62,45.4,True,True,True,False,False,False,False
2026-04,BB,BBbasis^VAH,long,26.88,27.1,True,True,False,False,False,False,False
2026-04,BB,BBbasis^VAH,long,12.62,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^VAH,short,24.38,195.4,False,True,True,True,True,True,True
2026-04,BB,BBbasis^VAH,long,14.75,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,22.75,189.2,False,False,True,True,True,True,True
2026-04,VWAP,VWAP-1^VAL,long,23.88,118.9,True,True,True,True,True,True,False
2026-04,VWAP,VWAP-1^VAL,long,24.12,28.1,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,22.88,43.1,True,True,True,False,False,False,False
2026-04,BB,BBupper^VAH,short,15.12,0.0,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,17.25,46.0,True,True,True,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,16.5,22.2,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,28.25,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,26.12,255.6,False,True,True,True,True,True,True
2026-04,VWAP,VWAP+1^VAH,long,14.0,0.0,True,True,False,False,False,False,False
2026-04,VWAP,VWAP+1^VAH,long,20.38,0.0,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,long,19.12,18.6,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,short,7.75,0.0,True,True,False,False,False,False,False
2026-04,BB,BBupper^VAH,long,10.25,44.8,True,False,True,False,False,False,False
2026-04,BB,BBupper^VAH,short,29.25,103.8,True,True,True,True,True,True,False
2026-04,BB,BBupper^VAH,short,18.75,7.8,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,18.5,29.2,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,24.0,162.0,True,False,True,True,True,True,True
2026-04,VWAP,VWAPmid^POC,long,12.75,18.8,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,17.12,22.1,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,long,7.75,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,25.75,16.5,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,long,13.0,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,9.62,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^POC,long,13.38,0.0,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,31.12,34.9,True,False,True,False,False,False,False
2026-04,BB,BBbasis^POC,long,23.62,49.4,True,True,True,False,False,False,False
2026-04,BB,BBbasis^POC,long,26.0,16.8,True,True,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,30.12,17.6,True,True,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,20.75,0.0,True,False,False,False,False,False,False
2026-04,BB,BBlower^VAL,short,31.88,22.6,True,True,False,False,False,False,False
2026-04,BB,BBbasis^POC,short,15.62,86.6,True,True,True,True,True,False,False
2026-04,BB,BBbasis^POC,short,16.75,65.2,True,True,True,True,False,False,False
2026-04,BB,BBbasis^POC,short,8.88,0.0,True,False,False,False,False,False,False
2026-04,BB,BBlower^VAL,long,22.5,12.8,True,True,False,False,False,False,False
2026-04,BB,BBlower^POC,long,12.38,35.4,True,False,True,False,False,False,False
2026-04,BB,BBbasis^VAL,long,28.5,120.8,True,True,True,True,True,True,False
2026-04,VWAP,VWAPmid^POC,long,13.12,7.4,True,True,False,False,False,False,False
2026-04,VWAP,VWAPmid^POC,short,5.88,43.4,True,False,True,False,False,False,False
2026-04,BB,BBbasis^VAL,long,13.62,0.0,True,False,False,False,False,False,False
2026-04,BB,BBbasis^VAL,long,11.12,20.1,True,True,False,False,False,False,False
2026-04,BB,BBbasis^VAL,short,15.62,10.1,True,True,False,False,False,False,False
2026-04,VWAP,VWAP-1^VAL,long,7.88,15.6,True,False,False,False,False,False,False
