day,weekday,fill,window,branch,bias,conviction,counter,dir,pattern,entry,stop_dist,padded,derisk,target_kind,tgt_dist,reason,exit,exit_t,pts,R,dollars
2023-03-22,Wednesday,08:28,premarket,E4war,BULLISH,MEDIUM,True,short,A,12837.5,6.75,False,False,4R cap (no draw in dir),27.0,stop,12844.5,08:32,-7.0,-1.037,-145.0
2023-03-22,Wednesday,08:32,premarket,E4war,BULLISH,MEDIUM,False,long,B2,12843.0,5.25,False,False,4R cap,21.0,4R cap,12864.0,09:12,21.0,4.0,415.0
2023-03-22,Wednesday,09:41,intime,E4war,BULLISH,MEDIUM,False,long,B2,12874.75,20.0,True,False,draw:equal-highs,11.63,draw:equal-highs,12886.38,09:50,11.63,0.581,227.6
2023-03-22,Wednesday,09:50,intime,E4war,BULLISH,MEDIUM,False,long,B2,12876.25,20.0,True,False,draw:equal-highs,10.13,draw:equal-highs,12886.38,09:50,10.13,0.506,197.6
2023-03-23,Thursday,08:38,premarket,E4war,BULLISH,MEDIUM,False,long,A,12822.25,6.75,False,False,4R cap,27.0,stop,12815.25,09:02,-7.0,-1.037,-145.0
2023-03-27,Monday,08:18,premarket,E4war,BULLISH,MEDIUM,True,short,B,12932.75,9.75,False,False,4R cap (no draw in dir),39.0,4R cap (no draw in dir),12893.75,09:31,39.0,4.0,775.0
2023-03-27,Monday,09:41,intime,E4war,BULLISH,MEDIUM,True,short,A,12902.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,12923.0,09:42,-20.25,-1.012,-410.0
2023-03-27,Monday,09:56,intime,E4war,BULLISH,MEDIUM,False,long,B2,12938.5,20.0,True,False,draw:equal-highs,20.38,stop,12918.25,09:57,-20.25,-1.012,-410.0
2023-03-28,Tuesday,08:15,premarket,E4war,BULLISH,MEDIUM,False,long,B,12793.75,6.75,False,False,4R cap,27.0,stop,12786.75,08:22,-7.0,-1.037,-145.0
2023-03-28,Tuesday,08:42,premarket,E4war,BULLISH,MEDIUM,True,short,B,12762.75,7.5,False,False,4R cap (no draw in dir),30.0,stop,12770.5,08:59,-7.75,-1.033,-160.0
2023-03-28,Tuesday,10:11,intime,E4war,BULLISH,MEDIUM,False,long,B2,12714.75,20.0,True,False,draw:LondonL,36.5,stop,12694.5,10:28,-20.25,-1.012,-410.0
