day,time,bias,tier,score,direction,draws
2023-03-07,09:15,NEUTRAL,NEUTRAL,3,bullish,12371.25:equal-highs|12378.00:PWH|12486.25:PDH
2023-03-07,09:30,NEUTRAL,NEUTRAL,2,bullish,12371.25:equal-highs|12378.00:PWH|12486.25:PDH
2023-03-07,10:15,NEUTRAL,NEUTRAL,3,bullish,12361.50:equal-highs|12371.25:equal-highs|12378.00:PWH
2023-03-08,08:00,NEUTRAL,NEUTRAL,2,bearish,12151.75:LondonL|12140.50:equal-lows|11832.50:PWL
2023-03-08,08:30,NEUTRAL,NEUTRAL,3,bearish,12151.75:LondonL|12140.50:equal-lows|11832.50:PWL
2023-03-08,08:45,NEUTRAL,NEUTRAL,2,bearish,12151.75:LondonL|12140.50:equal-lows|11832.50:PWL
2023-03-08,09:30,NEUTRAL,NEUTRAL,2,bearish,12151.75:LondonL|12140.50:equal-lows|11832.50:PWL
2023-03-08,10:15,BEARISH,MEDIUM,4,bearish,12151.75:LondonL|12143.75:equal-lows|11832.50:PWL
2023-03-09,08:00,BEARISH,MEDIUM,5,bearish,12150.12:equal-lows|12143.75:equal-lows|12137.50:equal-lows
2023-03-09,08:45,BEARISH,MEDIUM,6,bearish,12182.25:AsiaL|12150.12:equal-lows|12143.75:equal-lows
2023-03-09,09:30,BULLISH,MEDIUM,4,bullish,12361.50:equal-highs|12371.25:equal-highs|12378.00:PWH
2023-03-10,08:00,NEUTRAL,NEUTRAL,4,bullish,12217.88:equal-highs|12372.38:equal-highs|12054.50:LondonH
2023-03-10,09:30,BULLISH,MEDIUM,5,bullish,12217.88:equal-highs|12372.38:equal-highs|12054.50:LondonH
2023-03-10,09:45,BULLISH,MEDIUM,4,bullish,11926.00:PDL|12217.88:equal-highs|12372.38:equal-highs
2023-03-10,10:00,NEUTRAL,NEUTRAL,2,bearish,11832.50:PWL
2023-03-13,08:00,NEUTRAL,NEUTRAL,4,bullish,12217.88:equal-highs|12486.25:PWH
2023-03-13,08:45,NEUTRAL,NEUTRAL,5,bullish,11979.75:LondonL|12217.88:equal-highs|12486.25:PWH
2023-03-13,09:30,NEUTRAL,NEUTRAL,3,bullish,11979.75:LondonL|12217.88:equal-highs|12486.25:PWH
2023-03-13,10:00,NEUTRAL,NEUTRAL,4,bullish,12217.88:equal-highs|12486.25:PWH
2023-03-14,08:00,NEUTRAL,NEUTRAL,4,bearish,12058.75:AsiaL|11980.00:equal-lows|11926.88:equal-lows
2023-03-14,08:15,NEUTRAL,NEUTRAL,4,bearish,12058.75:AsiaL|11980.00:equal-lows|11926.88:equal-lows
2023-03-14,08:45,BEARISH,MEDIUM,5,bearish,12058.75:AsiaL|11980.00:equal-lows|11926.88:equal-lows
2023-03-14,09:30,NEUTRAL,NEUTRAL,4,bullish,12220.62:equal-highs|12486.25:PWH
2023-03-14,09:45,NEUTRAL,NEUTRAL,3,bullish,12486.25:PWH
2023-03-15,08:00,NEUTRAL,NEUTRAL,4,bearish,12057.50:equal-lows|11980.00:equal-lows|11796.12:equal-lows
2023-03-15,09:30,BEARISH,MEDIUM,5,bearish,12166.50:equal-lows|12057.50:equal-lows|11980.00:equal-lows
2023-03-16,08:00,NEUTRAL,NEUTRAL,2,bullish,12456.75:LondonH|12462.50:PDH|12486.25:PWH
