sym,day,dir,risk,res,r
ES,2022-11-28,-1,7.25,TARGET,1.896551724137931
ES,2022-12-13,-1,17.25,TARGET,1.9565217391304348
ES,2022-12-16,1,8.5,STOP,-1.088235294117647
ES,2022-12-19,1,8.75,STOP,-1.0857142857142856
ES,2022-12-30,1,14.75,FLAT,0.15254237288135594
ES,2023-01-03,1,6.25,STOP,-1.12
ES,2023-01-05,1,10.5,STOP,-1.0714285714285714
ES,2023-01-09,-1,7.25,STOP,-1.103448275862069
ES,2023-01-09,-1,6.5,STOP,-1.1153846153846154
ES,2023-01-12,1,20.5,FLAT,0.9390243902439024
ES,2023-01-16,-1,2.75,STOP,-1.2727272727272727
ES,2023-01-17,-1,5.5,TARGET,1.8636363636363635
ES,2023-01-25,1,10.0,STOP,-1.075
ES,2023-01-25,1,12.0,TARGET,1.9375
ES,2023-01-26,-1,14.75,FLAT,-0.576271186440678
ES,2023-01-31,-1,7.5,STOP,-1.1
ES,2023-02-01,-1,9.5,FLAT,1.0
ES,2023-02-08,1,10.75,STOP,-1.069767441860465
