tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2025-11-20,2025-11-20 10:19:00,1023278,-1,25218.25,14.75,STOP,-1.0508474576271187,-20.0,-0.044642857142857144,50.0,0.03571428571428571,0.32,0.6652095410054167,
2023-26,2025-11-21,2025-11-21 09:58:00,1024637,1,24205.75,22.25,STOP,-1.0337078651685394,-115.0,-0.13973268529769137,-147.0,-0.10552763819095477,0.5908111988513999,0.5190685872080005,
2023-26,2025-11-21,2025-11-21 10:00:00,1024639,-1,24157.75,71.25,TARGET,2.9894736842105263,-0.0,-0.0,142.0,0.04903314917127072,0.805939226519337,1.1251845520242443,
2023-26,2025-11-24,2025-11-24 09:57:00,1026016,1,24654.25,15.25,TARGET,2.9508196721311477,47.0,0.0912621359223301,80.0,0.07220216606498195,0.4648014440433213,0.5148017129026252,
2023-26,2025-11-24,2025-11-24 10:13:00,1026032,1,24707.25,12.75,TARGET,2.9411764705882355,-39.0,-0.0718232044198895,-21.0,-0.013824884792626729,0.3574720210664911,0.7768083309878975,
2023-26,2025-11-24,2025-11-24 10:21:00,1026040,1,24731.75,32.0,STOP,-1.0234375,-43.0,-0.09014675052410902,71.0,0.048464163822525594,0.32559726962457336,0.7761925042589437,
2023-26,2025-11-25,2025-11-25 09:39:00,1027378,-1,24836.5,22.75,TARGET,2.967032967032967,-100.0,-0.12165450121654502,50.0,0.030193236714975844,0.4963768115942029,1.0153062789484986,
2023-26,2025-11-26,2025-11-26 09:41:00,1028760,1,25229.75,21.5,STOP,-1.0348837209302326,-153.0,-0.23007518796992482,-19.0,-0.01499605367008682,0.5248618784530387,0.6940824668733369,
2023-26,2025-11-26,2025-11-26 09:53:00,1028772,1,25242.25,14.5,STOP,-1.0517241379310345,-84.0,-0.09905660377358491,29.0,0.01825047199496539,0.5336689741976086,0.7823238170308151,
2023-26,2025-11-26,2025-11-26 10:15:00,1028794,-1,25170.5,21.5,STOP,-1.0348837209302326,-181.0,-0.12737508796622096,-107.0,-0.05694518360830229,0.7562533262373603,0.891547390158798,
2023-26,2025-12-01,2025-12-01 10:05:00,1031812,1,25351.5,20.0,STOP,-1.0375,-198.0,-0.14820359281437126,-209.0,-0.10455227613806903,0.6683341670835418,0.952563030230613,
2023-26,2025-12-01,2025-12-01 10:10:00,1031817,1,25375.0,25.5,STOP,-1.0294117647058822,31.0,0.028518859245630176,151.0,0.08773968622893666,0.631609529343405,0.9304590084119986,
2023-26,2025-12-01,2025-12-01 10:12:00,1031819,1,25374.0,21.0,STOP,-1.0357142857142858,25.0,0.02768549280177187,72.0,0.06844106463878327,0.8583650190114068,0.5921256296963385,
2023-26,2025-12-02,2025-12-02 09:58:00,1033185,1,25598.75,12.75,TARGET,2.9411764705882355,-206.0,-0.32087227414330216,-124.0,-0.07142857142857142,0.36981566820276496,0.8934140997551231,
2023-26,2025-12-05,2025-12-05 09:48:00,1037315,1,25743.5,20.5,TARGET,2.9634146341463414,-127.0,-0.1372972972972973,-28.0,-0.02157164869029276,0.7126348228043143,0.5429978532643011,
2023-26,2025-12-05,2025-12-05 10:20:00,1037347,1,25841.25,13.75,STOP,-1.0545454545454545,-243.0,-0.16957431960921143,-185.0,-0.10966212211025489,0.8494368701837581,1.0658606426980592,
2023-26,2025-12-09,2025-12-09 09:30:00,1040057,-1,25602.25,37.25,STOP,-1.0201342281879195,-76.0,-0.032121724429416736,129.0,0.027175057931325047,0.4984200547714346,8.936410739519548,
2023-26,2025-12-09,2025-12-09 09:36:00,1040063,-1,25597.0,11.25,STOP,-1.0666666666666667,-48.0,-0.05393258426966292,50.0,0.02446183953033268,0.4354207436399217,1.5507776761207686,
2023-26,2025-12-09,2025-12-09 09:48:00,1040075,1,25611.5,16.0,TARGET,2.953125,-131.0,-0.08727514990006663,-103.0,-0.05950317735413056,0.8671288272674754,0.7535433420713556,
2023-26,2025-12-09,2025-12-09 09:50:00,1040077,1,25626.25,16.75,STOP,-1.044776119402985,-56.0,-0.11864406779661017,20.0,0.01890359168241966,0.44612476370510395,0.5080143224473121,
2023-26,2025-12-09,2025-12-09 10:00:00,1040087,1,25639.0,34.0,FLAT,2.014705882352941,-115.0,-0.14538558786346398,52.0,0.030915576694411414,0.4702734839476813,1.3675073698001965,
2023-26,2025-12-09,2025-12-09 10:15:00,1040102,1,25638.5,14.75,TARGET,2.9491525423728815,-80.0,-0.06633499170812604,-68.0,-0.052307692307692305,0.9276923076923077,0.9818431492218492,
2023-26,2025-12-09,2025-12-09 10:16:00,1040103,1,25640.0,9.5,STOP,-1.0789473684210527,-7.0,-0.010432190760059613,62.0,0.07061503416856492,0.7642369020501139,0.6660016880227116,
2023-26,2025-12-09,2025-12-09 10:20:00,1040107,1,25638.0,10.25,TARGET,2.926829268292683,-88.0,-0.24858757062146894,23.0,0.028930817610062894,0.44528301886792454,0.630367914353054,
2023-26,2025-12-09,2025-12-09 10:23:00,1040110,1,25640.25,8.0,STOP,-1.09375,-10.0,-0.056818181818181816,77.0,0.11827956989247312,0.27035330261136714,0.5978260869565218,
2023-26,2025-12-10,2025-12-10 09:30:00,1041437,-1,25644.5,19.75,TARGET,2.962025316455696,-43.0,-0.014640789921688798,80.0,0.01558846453624318,0.5722915042868277,9.293572142922082,
2023-26,2025-12-10,2025-12-10 10:04:00,1041471,-1,25626.0,8.5,STOP,-1.088235294117647,-56.0,-0.12121212121212122,-40.0,-0.04672897196261682,0.5397196261682243,0.5025028879476319,
2023-26,2025-12-12,2025-12-12 09:34:00,1044201,-1,25574.5,13.75,STOP,-1.0545454545454545,49.0,0.025748817656332107,592.0,0.16052060737527116,0.5159978308026031,2.2492380397931577,
2023-26,2025-12-12,2025-12-12 09:55:00,1044222,-1,25558.75,11.75,TARGET,2.9361702127659575,7.0,0.009446693657219974,150.0,0.10474860335195531,0.5174581005586593,0.569661600104525,
