tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div,mult
2023-26,2024-10-28,2024-10-28 10:25:00,646612,1,20582.75,8.25,TARGET,0.9090909090909091,-78.0,-0.14338235294117646,104.0,0.0933572710951526,0.4883303411131059,1.1148919135308246,,1.0
2023-26,2024-10-29,2024-10-29 10:20:00,647987,1,20542.5,20.75,TARGET,0.963855421686747,-90.0,-0.1111111111111111,-36.0,-0.03296703296703297,0.7417582417582418,0.9505984766050054,,1.0
2023-26,2024-10-31,2024-10-31 10:10:00,650737,-1,20153.0,10.25,TARGET,0.926829268292683,-111.0,-0.13892365456821026,172.0,0.10565110565110565,0.4907862407862408,0.7174808840704259,,1.0
2023-26,2025-06-02,2025-06-02 10:11:00,854487,-1,21287.25,15.0,STOP,-1.05,-13.0,-0.0429042904290429,163.0,0.13872340425531915,0.2578723404255319,0.623771319271027,,1.0
2023-26,2025-06-03,2025-06-03 10:25:00,855881,1,21611.75,15.25,STOP,-1.0491803278688525,-115.0,-0.19262981574539365,-49.0,-0.05414364640883978,0.6596685082872928,0.7879025580685929,,1.0
2023-26,2025-06-04,2025-06-04 10:11:00,857247,-1,21706.75,16.5,STOP,-1.0454545454545454,1.0,0.0006176652254478073,91.0,0.04843001596593933,0.8616285258116019,1.1241063683407615,,1.0
2023-26,2025-06-05,2025-06-05 10:03:00,858619,-1,21729.25,10.75,STOP,-1.069767441860465,5.0,0.012919896640826873,-10.0,-0.012658227848101266,0.489873417721519,0.4771552115146201,,1.0
2023-26,2025-06-06,2025-06-06 10:13:00,860009,-1,21822.25,8.75,STOP,-1.0857142857142856,-48.0,-0.12244897959183673,-14.0,-0.020348837209302327,0.5697674418604651,0.5431743749500758,,1.0
2023-26,2025-06-09,2025-06-09 10:07:00,861383,1,21808.5,11.25,TARGET,0.9333333333333333,-148.0,-0.2948207171314741,-125.0,-0.17053206002728513,0.684856753069577,0.7748491584630041,,1.0
2023-26,2025-06-11,2025-06-11 10:08:00,864144,1,21988.0,14.75,TARGET,0.9491525423728814,-93.0,-0.13381294964028778,-22.0,-0.02186878727634195,0.6908548707753479,0.8321125109874011,,1.0
2023-26,2025-06-13,2025-06-13 09:48:00,866884,1,21755.25,10.0,STOP,-1.075,-51.0,-0.08994708994708994,14.0,0.01443298969072165,0.5845360824742268,0.4512485136741974,,1.0
2023-26,2025-06-17,2025-06-17 09:38:00,869632,1,22075.75,9.0,TARGET,0.9166666666666666,-150.0,-0.23148148148148148,-62.0,-0.051070840197693576,0.5337726523887973,0.9641532756489494,,1.0
2023-26,2025-06-20,2025-06-20 09:30:00,873524,1,22086.25,46.75,STOP,-1.0160427807486632,-6.0,-0.0015641293013555788,94.0,0.01802838511699271,0.7357115458381281,5.681421718273005,,1.0
2023-26,2025-06-23,2025-06-23 10:28:00,874962,1,21986.75,17.25,TARGET,0.9565217391304348,-7.0,-0.00842358604091456,67.0,0.04816678648454349,0.597411933860532,1.1866143076660405,,1.0
2023-26,2025-06-24,2025-06-24 10:12:00,876326,-1,22289.75,8.75,STOP,-1.0857142857142856,-92.0,-0.18548387096774194,-30.0,-0.03579952267303103,0.5918854415274463,0.7360562143170839,,1.0
2023-26,2025-06-26,2025-06-26 09:30:00,879044,1,22556.25,14.5,STOP,-1.0517241379310345,-235.0,-0.2266152362584378,-227.0,-0.073296738779464,0.3348401679044236,6.348164855443921,,1.0
2023-26,2025-06-26,2025-06-26 09:31:00,879045,1,22557.25,19.0,STOP,-1.0394736842105263,-183.0,-0.07711757269279393,57.0,0.01682905225863596,0.7006200177147919,5.202764976958525,,1.0
2023-26,2025-06-26,2025-06-26 10:15:00,879089,1,22555.25,10.75,TARGET,0.9302325581395349,-44.0,-0.07432432432432433,71.0,0.07759562841530054,0.6469945355191257,0.7746687550268805,,1.0
2023-26,2025-06-27,2025-06-27 09:51:00,880445,1,22737.75,8.5,TARGET,0.9117647058823529,-126.0,-0.2290909090909091,-126.0,-0.13968957871396895,0.6097560975609756,0.7457627118644068,,1.0
2023-26,2025-07-01,2025-07-01 09:31:00,883185,-1,22801.5,15.0,STOP,-1.05,-52.0,-0.03869047619047619,152.0,0.0608,0.5376,4.1543322800598705,,1.0
