ts_event,open,high,low,close,volume
2026-07-28 13:32:00+00:00,27910.5,27918.0,27871.25,27898.5,3299.0
2026-07-28 13:33:00+00:00,27896.75,27918.25,27883.25,27903.75,3273.0
2026-07-28 13:34:00+00:00,27904.5,27916.75,27875.75,27877.0,2253.0
2026-07-28 13:35:00+00:00,27876.0,27916.75,27876.0,27913.25,2654.0
2026-07-28 13:36:00+00:00,27913.0,27926.25,27852.0,27860.5,3496.0
2026-07-28 13:37:00+00:00,27861.0,27878.5,27822.25,27834.75,3326.0
2026-07-28 13:38:00+00:00,27834.25,27847.25,27810.75,27811.25,2527.0
2026-07-28 13:39:00+00:00,27811.75,27817.5,27788.75,27791.25,2518.0
2026-07-28 13:40:00+00:00,27792.0,27835.0,27787.5,27813.25,3628.0
2026-07-28 13:41:00+00:00,27813.75,27841.5,27799.5,27811.75,2469.0
2026-07-28 13:42:00+00:00,27812.25,27816.0,27760.25,27761.5,3414.0
2026-07-28 13:43:00+00:00,27762.5,27768.25,27728.5,27735.75,3154.0
2026-07-28 13:44:00+00:00,27736.0,27771.25,27735.5,27749.75,2470.0
2026-07-28 13:45:00+00:00,27749.25,27764.5,27706.75,27712.0,3535.0
2026-07-28 13:46:00+00:00,27710.5,27712.0,27673.0,27683.5,3708.0
2026-07-28 13:47:00+00:00,27684.25,27687.25,27658.75,27660.0,2763.0
2026-07-28 13:48:00+00:00,27660.25,27733.25,27659.25,27727.5,3821.0
2026-07-28 13:49:00+00:00,27729.25,27758.5,27716.5,27755.5,3305.0
2026-07-28 13:50:00+00:00,27755.5,27799.0,27719.25,27722.25,4437.0
2026-07-28 13:51:00+00:00,27723.75,27748.5,27702.75,27726.5,2571.0
2026-07-28 13:52:00+00:00,27725.0,27786.25,27723.0,27752.75,2533.0
2026-07-28 13:53:00+00:00,27754.0,27755.5,27682.25,27716.0,3294.0
2026-07-28 13:54:00+00:00,27716.5,27735.0,27692.5,27696.0,2023.0
2026-07-28 13:55:00+00:00,27698.0,27708.25,27671.25,27676.5,2787.0
2026-07-28 13:56:00+00:00,27677.0,27710.25,27662.25,27708.25,2862.0
2026-07-28 13:57:00+00:00,27707.75,27720.5,27679.25,27688.25,2488.0
2026-07-28 13:58:00+00:00,27686.75,27690.25,27663.0,27665.25,1677.0
2026-07-28 13:59:00+00:00,27664.5,27691.75,27641.75,27665.25,2268.0
2026-07-28 14:00:00+00:00,27665.5,27731.75,27652.0,27727.0,3099.0
2026-07-28 14:01:00+00:00,27724.5,27734.75,27692.0,27706.0,2006.0
2026-07-28 14:02:00+00:00,27706.0,27749.5,27705.25,27730.25,2321.0
2026-07-28 14:03:00+00:00,27730.75,27740.0,27712.25,27717.5,1468.0
2026-07-28 14:04:00+00:00,27716.75,27734.25,27695.75,27715.25,1572.0
2026-07-28 14:05:00+00:00,27714.0,27771.25,27705.5,27766.25,2300.0
2026-07-28 14:06:00+00:00,27767.0,27782.0,27740.5,27780.5,2323.0
2026-07-28 14:07:00+00:00,27779.0,27793.5,27720.5,27724.0,2386.0
2026-07-28 14:08:00+00:00,27724.25,27727.5,27666.75,27695.25,2558.0
2026-07-28 14:09:00+00:00,27694.25,27701.75,27673.75,27673.75,1678.0
2026-07-28 14:10:00+00:00,27674.5,27719.5,27665.5,27699.25,2195.0
2026-07-28 14:11:00+00:00,27700.75,27724.25,27690.5,27722.75,1679.0
2026-07-28 14:12:00+00:00,27723.75,27731.0,27660.25,27662.25,1925.0
2026-07-28 14:13:00+00:00,27661.75,27685.5,27647.25,27652.75,2380.0
2026-07-28 14:14:00+00:00,27652.5,27652.75,27608.75,27630.25,3997.0
2026-07-28 14:15:00+00:00,27631.75,27655.25,27614.75,27644.25,2897.0
2026-07-28 14:16:00+00:00,27645.0,27652.0,27603.5,27610.5,2238.0
2026-07-28 14:17:00+00:00,27612.0,27628.5,27607.25,27623.5,2285.0
2026-07-28 14:18:00+00:00,27624.0,27647.0,27611.25,27636.25,2290.0
