tape,tf,sess,trend,W,U,buf,tgt,dolk,minrisk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,3,NY,HHHL,1.0,0.5,2,R2,10,8.0,284,-0.01153216962044265,-3.2751361722057126,0.323943661971831,0.3333333333333333,-0.009389671361502316,2.0,24.625,-0.13778097031021194,0.12372812975616497,-0.1449007165582166,-0.03289630591807169,0.02464788732394366
2023-26,3,NY,HHHL,1.0,0.5,2,R3,10,8.0,284,0.016196370674724445,4.599769271621742,0.2323943661971831,0.25,-0.017605633802816906,3.0,24.625,0.15938293300235223,0.12848961772651882,-0.09452634145326856,-0.015546219401900065,0.0528169014084507
2023-26,3,NY,HHHL,1.0,0.5,2,DOL,10,8.0,284,-0.022090215723784924,-6.273621265554919,0.36619718309859156,0.39928968741023163,-0.03309250431164007,1.5044473512099412,24.625,-0.25495262271357233,0.041615932989186484,-0.0849053693498616,-0.07628989611921155,0.01056338028169014
2023-26,3,NY,HHHL,2.0,0.5,2,R2,10,8.0,159,0.06170600501235636,9.811254796964661,0.3522012578616352,0.3333333333333333,0.018867924528301883,2.0,22.75,0.539752972206412,0.21124115945536506,-0.08595996000011474,0.0246650348434728,0.018867924528301886
2023-26,3,NY,HHHL,2.0,0.5,2,R3,10,8.0,159,0.0705563659745026,11.218462189945914,0.25157232704402516,0.25,0.0015723270440251569,3.0,22.75,0.5067197129780395,0.25549881363008603,-0.11207430108538605,0.014474096589280313,0.0440251572327044
2023-26,3,NY,HHHL,2.0,0.5,2,DOL,10,8.0,159,-0.02527041790372467,-4.017996446692223,0.3584905660377358,0.37092731829573933,-0.012436752258003503,1.695945945945946,22.75,-0.22023833815247773,0.14698203628739884,-0.1953697164174592,-0.10261370383191097,0.012578616352201259
2023-26,3,NY,SLOPE,1.0,0.5,2,R2,10,8.0,531,0.02206201577449928,11.714930376259119,0.3408662900188324,0.3333333333333333,0.0075329566854990815,2.0,25.5,0.3577406078307614,0.11358428146935641,-0.06911618125233207,0.010863184673836977,0.018832391713747645
2023-26,3,NY,SLOPE,1.0,0.5,2,R3,10,8.0,531,0.06982137201218253,37.07514853846892,0.23540489642184556,0.25,-0.01459510357815444,3.0,25.5,0.93455010586875,0.2053587179703905,-0.06520643505144572,0.05321755660646642,0.07156308851224105
2023-26,3,NY,SLOPE,1.0,0.5,2,DOL,10,8.0,531,0.006436537038396148,3.4178011673883546,0.4011299435028249,0.4249512670565302,-0.02382132355370531,1.353211009174312,25.5,0.1058121465329177,0.0829359704468375,-0.06977530451512627,-0.025334255113302923,0.003766478342749529
2023-26,3,NY,SLOPE,2.0,0.5,2,R2,10,8.0,302,0.035568864606387404,10.741797111128996,0.347682119205298,0.3333333333333333,0.014348785871964698,2.0,24.75,0.4317579322241229,0.08792989605581662,-0.01610320590291778,0.015932094018942824,0.013245033112582781
2023-26,3,NY,SLOPE,2.0,0.5,2,R3,10,8.0,302,0.0971502207245247,29.33936665880646,0.24834437086092714,0.25,-0.0016556291390728561,3.0,24.75,0.9643116794466523,0.21108314064120837,-0.015283581824834195,0.06811722735524944,0.059602649006622516
2023-26,3,NY,SLOPE,2.0,0.5,2,DOL,10,8.0,302,-0.001130831218933384,-0.3415110281178819,0.40066225165562913,0.40143369175627236,-0.0007714401006432281,1.4910714285714286,24.75,-0.01442979876487313,0.11125935893101202,-0.11204220307743219,-0.04547701764333315,0.0033112582781456954
2020-22,1,NY,SIDE,1.0,0.5,2,R2,10,8.0,510,-0.06302842410318389,-32.144496292623785,0.32941176470588235,0.3333333333333333,-0.0039215686274509665,2.0,14.0,-1.0085297802615811,-0.033112058308617257,-0.0927110682899805,-0.07513417728728357,0.00196078431372549
2020-22,1,NY,SIDE,1.0,0.5,2,R3,10,8.0,510,-0.06763200466584375,-34.492322379580315,0.24509803921568626,0.25,-0.004901960784313736,3.0,14.0,-0.886406483758179,-0.030544444477737426,-0.10442981828998049,-0.08566940933618528,0.00392156862745098
2020-22,1,NY,SIDE,1.0,0.5,2,DOL,10,8.0,510,-0.04317228848578161,-22.017867127748623,0.41568627450980394,0.4401834097540642,-0.024497135244260282,1.271780303030303,14.0,-0.7400911168406273,0.0034543865779416492,-0.08943469265056957,-0.07842989829352179,0.0
2020-22,1,NY,SIDE,2.0,0.5,2,R2,10,8.0,280,-0.06027968996994912,-16.878313191585754,0.33214285714285713,0.3333333333333333,-0.0011904761904761862,2.0,13.375,-0.7126384531871072,0.009201057473804017,-0.12976043741370225,-0.082339349984451,0.0
2020-22,1,NY,SIDE,2.0,0.5,2,R3,10,8.0,280,-0.0650933545662224,-18.22613927854227,0.24642857142857144,0.25,-0.0035714285714285587,3.0,13.375,-0.6305578318970679,-0.021854843147313945,-0.10833186598513082,-0.0980354730420558,0.0035714285714285713
2020-22,1,NY,SIDE,2.0,0.5,2,DOL,10,8.0,280,-0.038557535822484126,-10.796110030295555,0.4035714285714286,0.4027932014530671,0.0007782271183615075,1.4826635514018691,13.375,-0.46531423191933285,0.09731522341637504,-0.1744302950613433,-0.1030404380410198,0.0
2020-22,1,NY,HHHL,1.0,0.5,2,R2,10,8.0,454,-0.09462753895865073,-42.96090268722743,0.31938325991189426,0.3333333333333333,-0.013950073421439058,2.0,14.75,-1.4393294451740677,-0.10685226875507206,-0.08240280916222939,-0.10845150168894127,0.0
2020-22,1,NY,HHHL,1.0,0.5,2,R3,10,8.0,454,-0.09923570033124524,-45.053007950385336,0.23788546255506607,0.25,-0.012114537444933932,3.0,14.75,-1.239735234948358,-0.15571616859277207,-0.042755232069718416,-0.11972269267025315,0.0022026431718061676
2020-22,1,NY,HHHL,1.0,0.5,2,DOL,10,8.0,454,-0.02722921159783156,-12.362062065415529,0.36784140969163,0.40525894161443854,-0.037417531922808556,1.4675581395348836,14.75,-0.35612243369369145,0.02395881024884372,-0.07841723344450682,-0.08947925736001794,0.0
2020-22,1,NY,HHHL,2.0,0.5,2,R2,10,8.0,226,0.006345968379229619,1.4341888537058938,0.35398230088495575,0.3333333333333333,0.020648967551622432,2.0,13.875,0.0663873613474604,-0.024524473377018206,0.037216410135477426,-0.02017884809670731,0.0
2020-22,1,NY,HHHL,2.0,0.5,2,R3,10,8.0,226,0.010363201728088486,2.3420835905479978,0.26548672566371684,0.25,0.015486725663716838,3.0,13.875,0.08808707731987749,-0.060737794289919926,0.08146419774609692,-0.029544379156901057,0.004424778761061947
2020-22,1,NY,HHHL,2.0,0.5,2,DOL,10,8.0,226,0.1424222028926903,32.18741785374801,0.3938053097345133,0.38076071644194,0.013044593292573292,1.6263213530655392,13.875,1.1261105810942131,0.2631334960289042,0.021710909756476455,0.018808676456481852,0.0
2020-22,1,NY,SLOPE,1.0,0.5,2,R2,10,8.0,853,-0.02837863553972917,-24.206976115388983,0.34114888628370454,0.3333333333333333,0.00781555295037123,2.0,14.25,-0.5824330365615958,-0.023917871648626046,-0.03282895267698898,-0.035485074723577016,0.0011723329425556857
2020-22,1,NY,SLOPE,1.0,0.5,2,R3,10,8.0,853,-0.011936019197104426,-10.181424375130074,0.25791324736225085,0.25,0.007913247362250853,3.0,14.25,-0.19892644396641043,0.005876068273734455,-0.029706392177379283,-0.022507339339631203,0.005861664712778429
2020-22,1,NY,SLOPE,1.0,0.5,2,DOL,10,8.0,853,-0.058715066185388125,-50.08395145613607,0.406799531066823,0.4326241134751774,-0.02582458240835439,1.3114754098360655,14.25,-1.319634417061309,-0.020626602185804102,-0.09671433003509021,-0.08110311385931722,0.0011723329425556857
2020-22,1,NY,SLOPE,2.0,0.5,2,R2,10,8.0,445,-0.01677449017301401,-7.464648126991234,0.34606741573033706,0.3333333333333333,0.012734082397003743,2.0,13.75,-0.24768448099735169,0.007832016745664307,-0.0412706540113395,-0.030318068060311208,0.0
2020-22,1,NY,SLOPE,2.0,0.5,2,R3,10,8.0,445,0.003417660942439486,1.5208591193855714,0.26292134831460673,0.25,0.012921348314606729,3.0,13.75,0.04091666712964485,0.028787755092706972,-0.021838665969485985,-0.01677619646217356,0.0044943820224719105
2020-22,1,NY,SLOPE,2.0,0.5,2,DOL,10,8.0,445,-0.03814654942024089,-16.975214492007197,0.40224719101123596,0.40425531914893614,-0.0020081281377001825,1.4736842105263157,13.75,-0.5910873503055302,0.04813349337263205,-0.12403968619162115,-0.08106088193730944,0.0022471910112359553
2020-22,3,NY,SIDE,1.0,0.5,2,R2,10,8.0,227,0.031336287735897556,7.113337316048746,0.3436123348017621,0.3333333333333333,0.010279001468428806,2.0,22.0,0.33131466784165214,-0.08891105885470307,0.1505288330406157,0.0051440632622501425,0.022026431718061675
2020-22,3,NY,SIDE,1.0,0.5,2,R3,10,8.0,227,0.0947364810279765,21.505181193350666,0.24669603524229075,0.25,-0.003303964757709249,3.0,22.0,0.8182744017958123,0.010935578367608542,0.17780228805097287,0.0560005091430623,0.06607929515418502
2020-22,3,NY,SIDE,1.0,0.5,2,DOL,10,8.0,227,0.008383336167490039,1.903017310020239,0.44493392070484583,0.5,-0.05506607929515417,1.0,22.0,0.09481246156514599,-0.1473365776675701,0.16273728584610225,-0.06571418456422398,0.0
2020-22,3,NY,SIDE,2.0,0.5,2,R2,10,8.0,123,0.14674387193439498,18.04949624793058,0.3821138211382114,0.3333333333333333,0.04878048780487809,2.0,19.5,1.116589956344071,0.05427272810044663,0.23772354570650556,0.10077623261022525,0.024390243902439025
2020-22,3,NY,SIDE,2.0,0.5,2,R3,10,8.0,123,0.21581884598802661,26.545718056527274,0.2845528455284553,0.25,0.03455284552845528,3.0,19.5,1.319503614027241,0.20298467189435762,0.2284460172737332,0.14658952790164456,0.056910569105691054
2020-22,3,NY,SIDE,2.0,0.5,2,DOL,10,8.0,123,0.14308803339065132,17.59982810705011,0.4878048780487805,0.5,-0.012195121951219523,1.0,19.5,1.088130485155507,0.02502507812282416,0.25924674744448123,0.008140278788697448,0.0
2020-22,3,NY,HHHL,1.0,0.5,2,R2,10,8.0,193,-0.016474186742077904,-3.1795180412210353,0.3316062176165803,0.3333333333333333,-0.0017271157167529916,2.0,22.75,-0.16231537723136596,-0.1550961163318106,0.12071865079002869,-0.04811881642428951,0.02072538860103627
2020-22,3,NY,HHHL,1.0,0.5,2,R3,10,8.0,193,-0.05861021017983397,-11.311770564707956,0.21761658031088082,0.25,-0.032383419689119175,3.0,22.75,-0.48784298062628595,-0.14914477346470212,0.030991007091788106,-0.10669788486616856,0.05699481865284974
2020-22,3,NY,HHHL,1.0,0.5,2,DOL,10,8.0,193,-0.057524447332334395,-11.102218335140538,0.40414507772020725,0.4517241379310345,-0.04757906021082725,1.213740458015267,22.75,-0.6191860701598652,-0.18006970971163974,0.06375746182656576,-0.12661728260325086,0.0051813471502590676
2020-22,3,NY,HHHL,2.0,0.5,2,R2,10,8.0,107,-0.028230650303029514,-3.020679582424158,0.32710280373831774,0.3333333333333333,-0.006230529595015577,2.0,22.5,-0.20770822407465853,-0.1168325315758019,0.05873045539061745,-0.08636064559892523,0.028037383177570093
2020-22,3,NY,HHHL,2.0,0.5,2,R3,10,8.0,107,0.04591481854736936,4.912885584568522,0.2523364485981308,0.25,0.0023364485981308136,3.0,22.5,0.27139784527784366,-0.04136083346259435,0.13157425477937082,-0.038922518993226365,0.04672897196261682
2020-22,3,NY,HHHL,2.0,0.5,2,DOL,10,8.0,107,-0.04368631283184213,-4.674435473007108,0.3925233644859813,0.4453781512605042,-0.05285478677452288,1.2452830188679245,22.5,-0.3303682258142611,-0.08488156590894423,-0.003253934811723396,-0.16951443108157913,0.009345794392523364
2020-22,3,NY,SLOPE,1.0,0.5,2,R2,10,8.0,394,-0.050860737084041506,-20.039130411112353,0.31218274111675126,0.3333333333333333,-0.021150592216582054,2.0,22.375,-0.7244261817535403,-0.17123839329964083,0.0695169191315578,-0.06650651247442173,0.027918781725888325
2020-22,3,NY,SLOPE,1.0,0.5,2,R3,10,8.0,394,-0.03438185268666189,-13.546449958544784,0.2182741116751269,0.25,-0.03172588832487311,3.0,22.375,-0.4073761059927216,-0.10132960290243843,0.0325658975291146,-0.05757382589496499,0.06091370558375635
2020-22,3,NY,SLOPE,1.0,0.5,2,DOL,10,8.0,394,-0.10069621222125023,-39.674307615172594,0.39593908629441626,0.4800567554784802,-0.08411766918406394,1.083087027914614,22.375,-1.5724069842687138,-0.21414587568561838,0.012753451243117914,-0.14398287024956266,0.0025380710659898475
2020-22,3,NY,SLOPE,2.0,0.5,2,R2,10,8.0,217,0.020430208048103887,4.433355146438544,0.33640552995391704,0.3333333333333333,0.0030721966205837226,2.0,21.25,0.21191337963066362,-0.11893331239597581,0.1585151640844397,-0.007146598305879782,0.027649769585253458
2020-22,3,NY,SLOPE,2.0,0.5,2,R3,10,8.0,217,0.08178971843937308,17.74836890134396,0.2534562211981567,0.25,0.003456221198156695,3.0,21.25,0.6873069253728574,0.029876211413548008,0.13322695475853924,0.041054400548818516,0.05069124423963134
2020-22,3,NY,SLOPE,2.0,0.5,2,DOL,10,8.0,217,0.016390865667854033,3.5568178499243253,0.42857142857142855,0.4722222222222222,-0.04365079365079366,1.1176470588235294,21.25,0.17536671444049576,-0.1301317903778356,0.16156927716266573,-0.06105690094617806,0.004608294930875576
2017-19,1,NY,SIDE,1.0,0.5,2,R2,10,8.0,69,-0.025834898704290517,-1.7826080105960456,0.34782608695652173,0.3333333333333333,0.014492753623188415,2.0,10.5,-0.14907535201652677,-0.3629691596400847,0.3016669547761952,-0.1160316997370061,0.0
2017-19,1,NY,SIDE,1.0,0.5,2,R3,10,8.0,69,-0.02583489870429058,-1.78260801059605,0.2608695652173913,0.25,0.010869565217391297,3.0,10.5,-0.12136710776644306,-0.4806162184636142,0.4159526690619095,-0.1612030981060789,0.0
2017-19,1,NY,SIDE,1.0,0.5,2,DOL,10,8.0,69,-0.032549423763639375,-2.245910239691117,0.4492753623188406,0.5,-0.050724637681159424,1.0,10.5,-0.2210004084476453,-0.39979358840824747,0.3242020504625514,-0.16658117340394032,0.0
2017-19,1,NY,SIDE,2.0,0.5,2,R2,10,8.0,31,0.38559961446626473,11.953588048454206,0.4838709677419355,0.3333333333333333,0.15053763440860218,2.0,11.25,1.4099198486785645,0.13931070451108393,0.6164954675492467,0.21707513844313747,0.0
2017-19,1,NY,SIDE,2.0,0.5,2,R3,10,8.0,31,0.35334154995013567,10.953588048454206,0.3548387096774194,0.25,0.10483870967741937,3.0,11.25,1.0131222811828848,0.005977371177750583,0.6789954675492467,0.07488541371603726,0.0
2017-19,1,NY,SIDE,2.0,0.5,2,DOL,10,8.0,31,0.2706304672039898,8.389544483323684,0.5806451612903226,0.48913043478260876,0.09151472650771386,1.0444444444444445,11.25,1.218676941285955,-0.22828498482373588,0.7383637034799825,0.04755619531539034,0.0
2017-19,1,NY,HHHL,1.0,0.5,2,R2,10,8.0,69,-0.15611488162429832,-10.771926832076584,0.30434782608695654,0.3333333333333333,-0.028985507246376774,2.0,10.75,-0.9329989590439941,-0.18691042377887734,-0.12619921210270732,-0.25205181401595717,0.0
2017-19,1,NY,HHHL,1.0,0.5,2,R3,10,8.0,69,-0.08365111350835637,-5.7719268320765895,0.2463768115942029,0.25,-0.00362318840579709,3.0,10.75,-0.4003114165986402,-0.12808689436711265,-0.040484926388421626,-0.22174878371292686,0.0
2017-19,1,NY,HHHL,1.0,0.5,2,DOL,10,8.0,69,-0.1843752426445227,-12.721891742472067,0.391304347826087,0.5,-0.10869565217391303,1.0,10.75,-1.312693819931797,-0.2122959188915692,-0.15725230000453472,-0.30986111491394175,0.0
2017-19,1,NY,HHHL,2.0,0.5,2,R2,10,8.0,31,-0.19345862636628006,-5.9972174173546815,0.2903225806451613,0.3333333333333333,-0.043010752688172005,2.0,11.25,-0.7786286475288733,-0.4595478419987425,0.05600001328915363,-0.42335763863428005,0.0
2017-19,1,NY,HHHL,2.0,0.5,2,R3,10,8.0,31,-0.16120056185015103,-4.9972174173546815,0.22580645161290322,0.25,-0.02419354838709678,3.0,11.25,-0.5280058351398681,-0.5262145086654092,0.1810000132891536,-0.49478621006285145,0.0
2017-19,1,NY,HHHL,2.0,0.5,2,DOL,10,8.0,31,-0.24770014999770554,-7.678704649928871,0.3548387096774194,0.5,-0.14516129032258063,1.0,11.25,-1.1716145463103873,-0.3831549273449583,-0.12071129623465589,-0.4880445390354661,0.0
2017-19,1,NY,SLOPE,1.0,0.5,2,R2,10,8.0,133,0.03663276708354834,4.872158022111929,0.3684210526315789,0.3333333333333333,0.03508771929824561,2.0,10.5,0.29094605205095597,-0.0059309129262452645,0.07731863768114518,-0.007895493379313534,0.0
2017-19,1,NY,SLOPE,1.0,0.5,2,R3,10,8.0,133,0.09361733376340586,12.45110539053298,0.2857142857142857,0.25,0.0357142857142857,3.0,10.5,0.5951910751471768,0.14143750812638628,0.04790687297526282,0.027476826904279834,0.007518796992481203
2017-19,1,NY,SLOPE,1.0,0.5,2,DOL,10,8.0,133,0.00917109705106764,1.219755907791996,0.48120300751879697,0.5,-0.018796992481203034,1.0,10.5,0.0899072847111702,-0.012717535439205263,0.030094054578534358,-0.061518779209053395,0.0
