tape,tf,sess,trend,W,U,buf,tgt,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,3,NY,HHHL,2.0,0.5,2,DOL,161,-0.09196905085959504,-14.807017188394802,0.391304347826087,0.4451219512195122,-0.05381760339342523,1.2465753424657535,22.75,-0.8911758262438366,0.06840229575628877,-0.25036050430738155,-0.16352021947830553,0.0
2023-26,3,NY,NONE,1.0,0.5,2,R1,980,-0.06017310258682082,-58.9696405350844,0.4989795918367347,0.5,-0.0010204081632653184,1.0,25.25,-1.8782614644847841,-0.06859917538665139,-0.051747029786990265,-0.06340149669868661,0.0
2023-26,3,NY,NONE,1.0,0.5,2,R2,980,-0.017503851725778154,-17.15377469126259,0.3377551020408163,0.3333333333333333,0.004421768707483009,2.0,25.25,-0.3855800023284539,-0.034186333936920256,-0.0008213695146360337,-0.023669057753127856,0.0163265306122449
2023-26,3,NY,NONE,1.0,0.5,2,R3,980,-0.013655541045796788,-13.382430224880853,0.22959183673469388,0.25,-0.020408163265306117,3.0,25.25,-0.25077627353656856,-0.01606106637151285,-0.011250015720080705,-0.022870414890672167,0.058163265306122446
2023-26,3,NY,NONE,1.0,0.5,2,DOL,980,-0.04746399039164284,-46.514710583809986,0.4377551020408163,0.5,-0.0622448979591837,1.0,25.25,-1.2214963309319906,-0.055263763379105414,-0.03966421740418028,-0.06237515292321776,0.0010204081632653062
2023-26,3,NY,NONE,2.0,0.5,2,R1,535,-0.043069227529948816,-23.042036728522618,0.508411214953271,0.5,0.008411214953271018,1.0,24.5,-0.9920812057663849,-0.041299204760506664,-0.044832645736818416,-0.04889648771065007,0.0
2023-26,3,NY,NONE,2.0,0.5,2,R2,535,0.001346607886429416,0.7204352192397376,0.34579439252336447,0.3333333333333333,0.012461059190031154,2.0,24.5,0.021727544898058664,-0.028837965347978868,0.031418552116231714,-0.00986928480132245,0.011214953271028037
2023-26,3,NY,NONE,2.0,0.5,2,R3,535,0.02858507513959715,15.293015199684476,0.24485981308411214,0.25,-0.005140186915887857,3.0,24.5,0.3801409203049933,0.025395551953705364,0.031762697119571436,0.011905107484289116,0.048598130841121495
2023-26,3,NY,NONE,2.0,0.5,2,DOL,535,-0.035881795819931464,-19.196760763663335,0.4411214953271028,0.49526813880126186,-0.05414664347415904,1.019108280254777,24.5,-0.675054896148328,-0.020604926460548494,-0.051101661935436145,-0.061371628512749576,0.0
2020-22,1,NY,SLOPE,1.0,0.5,2,R1,1161,-0.09246664395198288,-107.35377362825213,0.5193798449612403,0.5,0.019379844961240345,1.0,11.75,-3.1454492880814735,-0.10578761932799179,-0.07944068165925865,-0.09524378269195984,0.0
2020-22,1,NY,SLOPE,1.0,0.5,2,R2,1161,-0.0834538827207394,-96.88995783877846,0.3488372093023256,0.3333333333333333,0.015503875968992276,2.0,11.75,-1.9959615745116757,-0.07268657403182453,-0.09398273312523196,-0.08878715040719413,0.0008613264427217916
