tape,tf,sess,trend,W,U,buf,tgt,dolk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2020-22,1,NY,SIDE,1.0,0.5,2,DOL,10,727,-0.20455401052497046,-148.71076565165353,0.37276478679504815,0.39830508474576276,-0.025540297950714608,1.5106382978723405,11.0,-4.1411328062889705,-0.17110969099565354,-0.23790645005558048,-0.23034415774869896,0.0
2020-22,1,NY,SIDE,2.0,0.5,2,R1,10,406,-0.1482612620527927,-60.19407239343383,0.4975369458128079,0.5,-0.0024630541871921152,1.0,10.625,-2.9697434109514074,-0.08595864836685291,-0.21056387573873245,-0.15654127268338777,0.0
2020-22,1,NY,SIDE,2.0,0.5,2,R2,10,406,-0.16057653298875327,-65.19407239343383,0.3275862068965517,0.3333333333333333,-0.005747126436781602,2.0,10.625,-2.3010655591248366,-0.04654978137177903,-0.2746032846057275,-0.17636943833816157,0.0
2020-22,1,NY,SIDE,2.0,0.5,2,R3,10,406,-0.17374851842460673,-70.54189848039033,0.2413793103448276,0.25,-0.008620689655172403,3.0,10.625,-2.050306443421453,-0.03841099362279633,-0.3090860432264172,-0.1970836469906591,0.0024630541871921183
2020-22,1,NY,SIDE,2.0,0.5,2,DOL,10,406,-0.22756114332350116,-92.38982418934147,0.35467980295566504,0.3763837638376384,-0.02170396088197335,1.656862745098039,10.625,-3.3311541102844013,-0.09885882995536592,-0.3562634566916364,-0.2740650837413052,0.0
2020-22,1,NY,HHHL,1.0,0.5,2,R1,10,621,-0.13658282240066955,-84.8179327108158,0.49597423510466987,0.5,-0.004025764895330131,1.0,12.0,-3.388040548818247,-0.10636891799766311,-0.16631407657359604,-0.14196732524534672,0.0
2020-22,1,NY,HHHL,1.0,0.5,2,R2,10,621,-0.14785496410759386,-91.81793271081578,0.32689210950080516,0.3333333333333333,-0.0064412238325281534,2.0,12.0,-2.615669389607022,-0.12260268423142932,-0.1727038529314235,-0.1581485550188095,0.0
2020-22,1,NY,HHHL,1.0,0.5,2,R3,10,621,-0.1930918485893296,-119.91003797397369,0.23349436392914655,0.25,-0.016505636070853452,3.0,12.0,-2.837363325735282,-0.24922606085480595,-0.13785434897985127,-0.2084356775304288,0.001610305958132045
2020-22,1,NY,HHHL,1.0,0.5,2,DOL,10,621,-0.17602703100790087,-109.31278625590645,0.3397745571658615,0.3829787234042553,-0.04320416623839379,1.6111111111111112,12.0,-2.7937354845726086,-0.15915342252364692,-0.19263109303074505,-0.22194398203556528,0.001610305958132045
2020-22,1,NY,HHHL,2.0,0.5,2,R1,10,324,-0.1105623861287927,-35.822213105728835,0.5123456790123457,0.5,0.012345679012345734,1.0,11.5,-1.9800285839572498,-0.07374626084165949,-0.14692677981731084,-0.12060894475346955,0.0
2020-22,1,NY,HHHL,2.0,0.5,2,R2,10,324,-0.07969818859792854,-25.82221310572885,0.35185185185185186,0.3333333333333333,0.018518518518518545,2.0,11.5,-0.9992816528686934,-0.01784563972364706,-0.14079181049215747,-0.09879231486349392,0.0
2020-22,1,NY,HHHL,2.0,0.5,2,R3,10,324,-0.09541456286693438,-30.91431836888674,0.25925925925925924,0.25,0.009259259259259245,3.0,11.5,-0.9786408353054178,-0.06132390059321228,-0.12908693480600955,-0.12398271632330721,0.0030864197530864196
2020-22,1,NY,HHHL,2.0,0.5,2,DOL,10,324,-0.045193995118156416,-14.642854418282678,0.35802469135802467,0.34895909870193487,0.009065592656089805,1.8656653565412689,11.5,-0.45506903920206193,0.042878181241124504,-0.13218553127670996,-0.13237211545282107,0.0030864197530864196
2020-22,1,NY,NONE,1.0,0.5,2,R1,10,2185,-0.1538876103677738,-336.2444286535857,0.4897025171624714,0.5,-0.010297482837528626,1.0,11.5,-7.160620875764929,-0.18682012049091926,-0.12134465677929701,-0.15544605014339075,0.0
