tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2025-07-01,2025-07-01 09:36:00,294432,1,22812.5,17.0,STOP,-1.0441176470588236,-203.0,-0.1325930764206401,120.0,0.03403289846851957,0.43420306296086214,2.4887005649717513,
2023-26,2025-07-01,2025-07-01 10:03:00,294441,1,22815.75,24.0,STOP,-1.03125,-143.0,-0.06421194431971262,0.0,0.0,0.7137820512820513,1.1540168664003552,
2023-26,2025-07-14,2025-07-14 09:51:00,298422,1,22927.75,20.25,STOP,-1.037037037037037,-191.0,-0.11321873147599289,-204.0,-0.04425162689804772,0.36594360086767896,1.3499441077837264,
2023-26,2025-07-14,2025-07-14 10:12:00,298429,1,22945.0,34.25,FLAT,2.321167883211679,-262.0,-0.1109229466553768,18.0,0.004497751124437781,0.5902048975512244,0.9280478753015402,
2023-26,2025-07-23,2025-07-23 10:24:00,301653,-1,23177.25,15.0,STOP,-1.05,-264.0,-0.12441093308199812,-69.0,-0.019810508182601206,0.6092449038185472,0.6803598113041694,
2023-26,2025-07-28,2025-07-28 10:24:00,303033,1,23511.5,17.5,STOP,-1.042857142857143,-46.0,-0.01791277258566978,308.0,0.07271010387157696,0.6062322946175638,0.9119202231339989,
2023-26,2025-08-07,2025-08-07 09:30:00,306695,1,23616.0,34.5,STOP,-1.0217391304347827,334.0,0.0417813360020015,1035.0,0.09305043603344422,0.7186910006293267,9.46629213483146,
2023-26,2025-08-07,2025-08-07 09:33:00,306696,1,23618.75,23.5,STOP,-1.0319148936170213,-45.0,-0.011933174224343675,66.0,0.008114089009097615,0.4636095402016228,5.240841576183265,
2023-26,2025-08-13,2025-08-13 09:30:00,308535,1,24059.25,31.0,STOP,-1.0241935483870968,-627.0,-0.102803738317757,-285.0,-0.028287841191066997,0.6053598014888337,8.746304990436446,
2023-26,2025-08-25,2025-08-25 09:33:00,312216,1,23488.5,45.75,FLAT,2.2076502732240435,-283.0,-0.06409966024915062,143.0,0.019125317640765013,0.5904774642236191,5.078890097932535,
2023-26,2025-08-27,2025-08-27 09:39:00,313138,-1,23540.75,22.5,STOP,-1.0333333333333334,-183.0,-0.10093767236624379,60.0,0.013679890560875513,0.41336069311445506,1.9768911355840406,
2023-26,2025-09-01,2025-09-01 10:18:00,314531,1,23486.5,8.0,FLAT,-0.375,-68.0,-0.18994413407821228,-68.0,-0.14285714285714285,0.7521008403361344,0.9821151659257729,
2023-26,2025-09-15,2025-09-15 10:24:00,319053,1,24247.75,20.5,FLAT,1.2560975609756098,3.0,0.0007178750897343862,367.0,0.04719043332904719,0.5373537353735374,1.0419098997544185,
2023-26,2025-09-19,2025-09-19 09:45:00,320880,1,24767.5,20.5,STOP,-1.0365853658536586,-191.0,-0.04391814210163256,-117.0,-0.025787965616045846,0.9585629270443023,1.4220104393623525,
2023-26,2025-09-30,2025-09-30 10:21:00,324112,-1,24775.0,24.0,STOP,-1.03125,-188.0,-0.09428284854563691,192.0,0.06049149338374291,0.62822936357908,0.6590819111916817,
2023-26,2025-10-06,2025-10-06 10:06:00,325947,-1,25159.5,18.0,STOP,-1.0416666666666667,-93.0,-0.045432340009770394,101.0,0.03201267828843106,0.6488114104595879,0.8139054019126389,
