stream,stack,n,sess,base_exp,subset_exp,improvement,null_pct
zxck-10am-keyopen,news_day>p50 AND risk_pts<=p25,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p25 AND direction_long<=p75,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,htf_aligned<=p75 AND news_day>p50,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p50 AND direction_long<=p50,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p50 AND direction_long<=p75,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p25,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,news_day>p25 AND direction_long<=p50,46,46,-0.09703196347031955,0.37318840579710155,0.4702203692674211,0.1675
zxck-10am-keyopen,atr_pct>p25 AND news_day>p50,38,38,-0.09703196347031955,0.3640350877192982,0.46106705118961777,0.1525
zxck-10am-keyopen,atr_pct>p25 AND news_day>p25,38,38,-0.09703196347031955,0.3640350877192982,0.46106705118961777,0.1525
sw-open-drive-pcr,volume_pace_at_entry>p50 AND value_area_location>p25,37,37,-0.03096644308945471,0.42707900240022295,0.4580454454896777,0.15
sw-precash-value-migration,cvd_price_divergence_pre<=p75 AND atr_pct<=p50,41,41,0.03717435793368325,0.5174883728470784,0.48031401491339515,0.1475
sw-thinbook-surprise,htf_aligned>p50 AND dist_to_level_R<=p50,53,53,-0.1653239978926368,0.32890296311841766,0.49422696101105446,0.145
sw-thinbook-surprise,htf_aligned>p25 AND dist_to_level_R<=p50,53,53,-0.1653239978926368,0.32890296311841766,0.49422696101105446,0.145
sw-onx-reclaim,cvd_price_divergence_pre<=p75 AND entry_min_into_window<=p25,29,29,0.06042834943870797,0.5468085347819504,0.4863801853432424,0.1375
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND value_area_location>p25,29,29,-0.03096644308945471,0.4150797396348436,0.44604618272429836,0.1325
zxck-10am-keyopen,value_area_location>p25 AND news_day>p50,32,32,-0.09703196347031955,0.3541666666666668,0.45119863013698636,0.1325
zxck-10am-keyopen,value_area_location>p25 AND news_day>p25,32,32,-0.09703196347031955,0.3541666666666668,0.45119863013698636,0.1325
sw-0930-cashopen-carry,entry_min_into_window<=p50 AND atr_pct<=p75,28,28,-0.11757208680363969,0.27038926442924743,0.3879613512328871,0.13
sw-0930-cashopen-carry,volume_pace_at_entry<=p50 AND risk_pts>p25,25,25,-0.11757208680363969,0.2702061062148581,0.38777819301849775,0.13
zxck-ifvg-50,cvd_price_divergence_pre>p75 AND absorption_pre_5>p50,25,25,-0.6155913978494624,-0.13,0.48559139784946237,0.13
sw-0930-cashopen-carry,volume_pace_at_entry<=p50 AND entry_min_into_window<=p50,28,28,-0.11757208680363969,0.27154428653110557,0.38911637333474525,0.13
sw-0930-cashopen-carry,volume_pace_at_entry<=p50 AND entry_min_into_window<=p75,28,28,-0.11757208680363969,0.27154428653110557,0.38911637333474525,0.13
sw-thinbook-surprise,cvd_slope_pre_15<=p50 AND value_area_location>p50,25,25,-0.1653239978926368,0.32367984954401685,0.48900384743665365,0.1275
zxck-10am-keyopen,vpoc_distance_at_entry>p25 AND news_day>p50,30,30,-0.09703196347031955,0.35000000000000003,0.4470319634703196,0.125
zxck-10am-keyopen,vpoc_distance_at_entry>p25 AND news_day>p25,30,30,-0.09703196347031955,0.35000000000000003,0.4470319634703196,0.125
zxck-10am-keyopen,absorption_pre_5<=p75 AND news_day>p50,35,35,-0.09703196347031955,0.34523809523809534,0.4422700587084149,0.1225
zxck-10am-keyopen,absorption_pre_5<=p75 AND news_day>p25,35,35,-0.09703196347031955,0.34523809523809534,0.4422700587084149,0.1225
sw-0830-secondleg,cvd_slope_pre_15>p50 AND entry_min_into_window<=p75,26,26,-0.22614411696606102,0.11686630586307656,0.3430104228291376,0.1175
sw-open-drive-pcr,volume_pace_at_entry>p25 AND vpoc_distance_at_entry<=p50,39,39,-0.03096644308945471,0.40900978666079557,0.4399762297502503,0.115
zxck-cisd,news_day<=p50 AND direction_long<=p50,27,27,0.04405408016302246,0.22639368030406376,0.1823396001410413,0.1125
sw-0830-secondleg-CANON,news_day<=p25,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
zxck-cisd,news_day<=p50 AND direction_long<=p75,27,27,0.04405408016302246,0.22639368030406376,0.1823396001410413,0.1125
sw-0830-secondleg-CANON,htf_aligned<=p50,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
sw-0830-secondleg-CANON,htf_aligned<=p75 AND news_day<=p75,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
sw-0830-secondleg,htf_aligned<=p25 AND risk_pts<=p75,25,25,-0.22614411696606102,0.11600180193492388,0.3421459189009849,0.1125
sw-0830-secondleg-CANON,htf_aligned<=p50 AND news_day<=p75,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
zxck-cisd,news_day<=p25 AND direction_long<=p50,27,27,0.04405408016302246,0.22639368030406376,0.1823396001410413,0.1125
sw-0830-secondleg-CANON,htf_aligned<=p50 AND news_day<=p50,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
zxck-cisd,news_day<=p25 AND direction_long<=p75,27,27,0.04405408016302246,0.22639368030406376,0.1823396001410413,0.1125
sw-0830-secondleg-CANON,htf_aligned<=p50 AND news_day<=p25,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
sw-0830-secondleg-CANON,news_day<=p75,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
sw-0830-secondleg-CANON,news_day<=p50,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
zxck-cisd,news_day<=p50,27,27,0.04405408016302246,0.22639368030406376,0.1823396001410413,0.1125
sw-0830-secondleg-CANON,htf_aligned<=p75,28,28,-0.06680413237374909,-0.0668041323737491,-1.3877787807814457e-17,0.1125
zxck-cisd,news_day<=p25,27,27,0.04405408016302246,0.22639368030406376,0.1823396001410413,0.1125
sw-0930-cashopen-carry,volume_pace_at_entry<=p75 AND news_day<=p50,26,26,-0.11757208680363969,0.263562336569431,0.3811344233730707,0.11
sw-0930-cashopen-carry,volume_pace_at_entry<=p75 AND news_day<=p25,26,26,-0.11757208680363969,0.263562336569431,0.3811344233730707,0.11
sw-gap-nopart,volume_pace_at_entry<=p50 AND value_area_location>p25,27,27,-0.18226643368491655,0.16573159971231236,0.3479980333972289,0.105
sw-0930-cashopen-carry,volume_pace_at_entry<=p75 AND entry_min_into_window<=p25,26,26,-0.11757208680363969,0.25548233864829795,0.3730544254519376,0.0975
sw-0930-cashopen-carry,entry_min_into_window<=p25 AND news_day<=p75,26,26,-0.11757208680363969,0.25548233864829795,0.3730544254519376,0.0975
sw-0930-cashopen-carry,entry_min_into_window<=p25 AND htf_aligned<=p75,26,26,-0.11757208680363969,0.25548233864829795,0.3730544254519376,0.0975
sw-0930-cashopen-carry,entry_min_into_window<=p25,26,26,-0.11757208680363969,0.25548233864829795,0.3730544254519376,0.0975
sw-0930-cashopen-carry,volume_pace_at_entry<=p50 AND entry_min_into_window<=p25,26,26,-0.11757208680363969,0.25548233864829795,0.3730544254519376,0.0975
zxck-ifvg-50,cvd_price_divergence_pre>p25 AND absorption_pre_5>p75,32,32,-0.6155913978494624,-0.15625,0.4593413978494624,0.09
zxck-cisd,cvd_price_divergence_pre<=p75 AND absorption_pre_5<=p75,25,25,0.04405408016302246,0.22164369154255933,0.17758961137953688,0.0875
orb-fvg-nyopen,vpoc_distance_at_entry>p75 AND atr_pct<=p25,105,48,-0.014681369498767156,0.28086388467751033,0.29554525417627747,0.085
sw-cvd-div-reclaim,atr_pct<=p50 AND dist_to_level_R>p75,36,32,-0.08693564639590223,0.36432334186507526,0.4512589882609775,0.085
sw-0830-secondleg,vpoc_distance_at_entry<=p75 AND entry_min_into_window<=p75,35,35,-0.22614411696606102,0.10250924991893229,0.3286533668849933,0.0825
zxck-10am-keyopen,volume_pace_at_entry<=p75 AND news_day>p50,34,34,-0.09703196347031955,0.3284313725490197,0.4254633360193393,0.0825
zxck-10am-keyopen,volume_pace_at_entry<=p75 AND news_day>p25,34,34,-0.09703196347031955,0.3284313725490197,0.4254633360193393,0.0825
sw-cvd-div-reclaim,absorption_pre_5>p50 AND news_day>p50,40,35,-0.08693564639590223,0.36314648314670683,0.45008212954260907,0.08
