# Historical FF red-folder backfill 2023-01..2026-01, derived from data/reference/news_archive.csv (Brake, 18 Jul 2026).
# 2026-02+ intentionally excluded: config/news_calendar.csv owns that span.
datetime_ET,event,impact
2024-07-16 08:30,Core Retail Sales m/m,high
2024-07-16 08:30,Retail Sales m/m,high
2024-07-25 08:30,Advance GDP q/q,high
2024-07-26 08:30,Core PCE Price Index m/m,high
2024-07-31 14:00,Federal Funds Rate,high
2024-07-31 14:00,FOMC Statement,high
2024-07-31 14:30,FOMC Press Conference,high
2024-08-01 10:00,ISM Manufacturing PMI,high
2024-08-02 08:30,Average Hourly Earnings m/m,high
2024-08-02 08:30,Non-Farm Employment Change,high
2024-08-02 08:30,Unemployment Rate,high
2024-08-05 10:00,ISM Services PMI,high
2024-08-14 08:30,Core CPI m/m,high
2024-08-14 08:30,CPI m/m,high
2024-08-14 08:30,CPI y/y,high
2024-08-15 08:30,Core Retail Sales m/m,high
2024-08-15 08:30,Retail Sales m/m,high
2024-08-21 14:00,FOMC Meeting Minutes,high
2024-08-30 08:30,Core PCE Price Index m/m,high
2024-09-03 10:00,ISM Manufacturing PMI,high
2024-09-05 10:00,ISM Services PMI,high
2024-09-06 08:30,Average Hourly Earnings m/m,high
2024-09-06 08:30,Non-Farm Employment Change,high
2024-09-06 08:30,Unemployment Rate,high
2024-09-11 08:30,Core CPI m/m,high
2024-09-11 08:30,CPI m/m,high
2024-09-11 08:30,CPI y/y,high
2024-09-17 08:30,Core Retail Sales m/m,high
2024-09-17 08:30,Retail Sales m/m,high
2024-09-18 14:00,Federal Funds Rate,high
2024-09-18 14:00,FOMC Economic Projections,high
2024-09-18 14:00,FOMC Statement,high
2024-09-18 14:30,FOMC Press Conference,high
2024-09-27 08:30,Core PCE Price Index m/m,high
2024-10-01 10:00,ISM Manufacturing PMI,high
2024-10-03 10:00,ISM Services PMI,high
2024-10-04 08:30,Average Hourly Earnings m/m,high
2024-10-04 08:30,Non-Farm Employment Change,high
2024-10-04 08:30,Unemployment Rate,high
2024-10-09 14:00,FOMC Meeting Minutes,high
2024-10-10 08:30,Core CPI m/m,high
2024-10-10 08:30,CPI m/m,high
2024-10-10 08:30,CPI y/y,high
2024-10-17 08:30,Core Retail Sales m/m,high
2024-10-17 08:30,Retail Sales m/m,high
2024-10-30 08:30,Advance GDP q/q,high
2024-10-31 08:30,Core PCE Price Index m/m,high
2024-11-01 08:30,Average Hourly Earnings m/m,high
2024-11-01 08:30,Non-Farm Employment Change,high
2024-11-01 08:30,Unemployment Rate,high
2024-11-01 10:00,ISM Manufacturing PMI,high
2024-11-05 10:00,ISM Services PMI,high
2024-11-07 14:00,Federal Funds Rate,high
2024-11-07 14:00,FOMC Statement,high
2024-11-07 14:30,FOMC Press Conference,high
2024-11-13 08:30,Core CPI m/m,high
2024-11-13 08:30,CPI m/m,high
2024-11-13 08:30,CPI y/y,high
2024-11-15 08:30,Core Retail Sales m/m,high
2024-11-15 08:30,Retail Sales m/m,high
2024-11-26 14:00,FOMC Meeting Minutes,high
2024-11-27 10:00,Core PCE Price Index m/m,high
2024-12-02 10:00,ISM Manufacturing PMI,high
2024-12-04 10:00,ISM Services PMI,high
2024-12-06 08:30,Average Hourly Earnings m/m,high
2024-12-06 08:30,Non-Farm Employment Change,high
2024-12-06 08:30,Unemployment Rate,high
2024-12-11 08:30,Core CPI m/m,high
2024-12-11 08:30,CPI m/m,high
2024-12-11 08:30,CPI y/y,high
2024-12-17 08:30,Core Retail Sales m/m,high
2024-12-17 08:30,Retail Sales m/m,high
2024-12-18 14:00,Federal Funds Rate,high
2024-12-18 14:00,FOMC Economic Projections,high
2024-12-18 14:00,FOMC Statement,high
2024-12-18 14:30,FOMC Press Conference,high
2024-12-20 08:30,Core PCE Price Index m/m,high
2025-01-03 10:00,ISM Manufacturing PMI,high
2025-01-07 10:00,ISM Services PMI,high
2025-01-08 14:00,FOMC Meeting Minutes,high
2025-01-10 08:30,Average Hourly Earnings m/m,high
2025-01-10 08:30,Non-Farm Employment Change,high
2025-01-10 08:30,Unemployment Rate,high
2025-01-15 08:30,Core CPI m/m,high
2025-01-15 08:30,CPI m/m,high
2025-01-15 08:30,CPI y/y,high
2025-01-16 08:30,Core Retail Sales m/m,high
2025-01-16 08:30,Retail Sales m/m,high
2025-01-29 14:00,Federal Funds Rate,high
2025-01-29 14:00,FOMC Statement,high
2025-01-29 14:30,FOMC Press Conference,high
2025-01-30 08:30,Advance GDP q/q,high
2025-01-31 08:30,Core PCE Price Index m/m,high
2025-02-03 10:00,ISM Manufacturing PMI,high
2025-02-05 10:00,ISM Services PMI,high
2025-02-07 08:30,Average Hourly Earnings m/m,high
2025-02-07 08:30,Non-Farm Employment Change,high
2025-02-07 08:30,Unemployment Rate,high
2025-02-11 10:00,Fed Chair Powell Testifies,high
2025-02-12 08:30,Core CPI m/m,high
2025-02-12 08:30,CPI m/m,high
2025-02-12 08:30,CPI y/y,high
2025-02-12 10:00,Fed Chair Powell Testifies,high
2025-02-14 08:30,Core Retail Sales m/m,high
2025-02-14 08:30,Retail Sales m/m,high
2025-02-19 14:00,FOMC Meeting Minutes,high
2025-02-28 08:30,Core PCE Price Index m/m,high
2025-03-03 10:00,ISM Manufacturing PMI,high
2025-03-05 10:00,ISM Services PMI,high
2025-03-07 08:30,Average Hourly Earnings m/m,high
2025-03-07 08:30,Non-Farm Employment Change,high
2025-03-07 08:30,Unemployment Rate,high
2025-03-12 08:30,Core CPI m/m,high
2025-03-12 08:30,CPI m/m,high
2025-03-12 08:30,CPI y/y,high
2025-03-17 08:30,Core Retail Sales m/m,high
2025-03-17 08:30,Retail Sales m/m,high
2025-03-19 14:00,Federal Funds Rate,high
2025-03-19 14:00,FOMC Economic Projections,high
2025-03-19 14:00,FOMC Statement,high
2025-03-19 14:30,FOMC Press Conference,high
2025-03-28 08:30,Core PCE Price Index m/m,high
2025-04-01 10:00,ISM Manufacturing PMI,high
2025-04-03 10:00,ISM Services PMI,high
2025-04-04 08:30,Average Hourly Earnings m/m,high
2025-04-04 08:30,Non-Farm Employment Change,high
2025-04-04 08:30,Unemployment Rate,high
2025-04-09 14:00,FOMC Meeting Minutes,high
2025-04-10 08:30,Core CPI m/m,high
2025-04-10 08:30,CPI m/m,high
2025-04-10 08:30,CPI y/y,high
2025-04-16 08:30,Core Retail Sales m/m,high
2025-04-16 08:30,Retail Sales m/m,high
2025-04-30 08:30,Advance GDP q/q,high
2025-04-30 10:00,Core PCE Price Index m/m,high
2025-05-01 10:00,ISM Manufacturing PMI,high
2025-05-02 08:30,Average Hourly Earnings m/m,high
2025-05-02 08:30,Non-Farm Employment Change,high
2025-05-02 08:30,Unemployment Rate,high
2025-05-05 10:00,ISM Services PMI,high
2025-05-07 14:00,Federal Funds Rate,high
2025-05-07 14:00,FOMC Statement,high
2025-05-07 14:30,FOMC Press Conference,high
2025-05-13 08:30,Core CPI m/m,high
2025-05-13 08:30,CPI m/m,high
2025-05-13 08:30,CPI y/y,high
2025-05-15 08:30,Core Retail Sales m/m,high
2025-05-15 08:30,Retail Sales m/m,high
2025-05-28 14:00,FOMC Meeting Minutes,high
2025-05-30 08:30,Core PCE Price Index m/m,high
2025-06-02 10:00,ISM Manufacturing PMI,high
2025-06-04 10:00,ISM Services PMI,high
2025-06-06 08:30,Average Hourly Earnings m/m,high
2025-06-06 08:30,Non-Farm Employment Change,high
2025-06-06 08:30,Unemployment Rate,high
2025-06-11 08:30,Core CPI m/m,high
2025-06-11 08:30,CPI m/m,high
2025-06-11 08:30,CPI y/y,high
2025-06-17 08:30,Core Retail Sales m/m,high
2025-06-17 08:30,Retail Sales m/m,high
2025-06-18 14:00,Federal Funds Rate,high
2025-06-18 14:00,FOMC Economic Projections,high
2025-06-18 14:00,FOMC Statement,high
2025-06-18 14:30,FOMC Press Conference,high
2025-06-24 10:00,Fed Chair Powell Testifies,high
2025-06-25 10:00,Fed Chair Powell Testifies,high
2025-06-27 08:30,Core PCE Price Index m/m,high
2025-07-01 10:00,ISM Manufacturing PMI,high
2025-07-03 08:30,Average Hourly Earnings m/m,high
2025-07-03 08:30,Non-Farm Employment Change,high
2025-07-03 08:30,Unemployment Rate,high
2025-07-03 10:00,ISM Services PMI,high
2025-07-09 14:00,FOMC Meeting Minutes,high
2025-07-15 08:30,Core CPI m/m,high
2025-07-15 08:30,CPI m/m,high
2025-07-15 08:30,CPI y/y,high
2025-07-17 08:30,Core Retail Sales m/m,high
2025-07-17 08:30,Retail Sales m/m,high
2025-07-30 08:30,Advance GDP q/q,high
2025-07-30 14:00,Federal Funds Rate,high
2025-07-30 14:30,FOMC Press Conference,high
2025-07-31 08:30,Core PCE Price Index m/m,high
2025-08-01 08:30,Average Hourly Earnings m/m,high
2025-08-01 08:30,Non-Farm Employment Change,high
2025-08-01 08:30,Unemployment Rate,high
2025-08-01 10:00,ISM Manufacturing PMI,high
2025-08-05 10:00,ISM Services PMI,high
2025-08-12 08:30,Core CPI m/m,high
2025-08-12 08:30,CPI m/m,high
2025-08-12 08:30,CPI y/y,high
2025-08-15 08:30,Core Retail Sales m/m,high
2025-08-15 08:30,Retail Sales m/m,high
2025-08-20 14:00,FOMC Meeting Minutes,high
2025-08-29 08:30,Core PCE Price Index m/m,high
2025-09-02 10:00,ISM Manufacturing PMI,high
2025-09-04 10:00,ISM Services PMI,high
2025-09-05 08:30,Average Hourly Earnings m/m,high
2025-09-05 08:30,Non-Farm Employment Change,high
2025-09-05 08:30,Unemployment Rate,high
2025-09-11 08:30,Core CPI m/m,high
2025-09-11 08:30,CPI m/m,high
2025-09-11 08:30,CPI y/y,high
2025-09-16 08:30,Core Retail Sales m/m,high
2025-09-16 08:30,Retail Sales m/m,high
2025-09-17 14:00,Federal Funds Rate,high
2025-09-17 14:00,FOMC Economic Projections,high
2025-09-17 14:00,FOMC Statement,high
2025-09-17 14:30,FOMC Press Conference,high
2025-09-26 08:30,Core PCE Price Index m/m,high
2025-10-01 10:00,ISM Manufacturing PMI,high
2025-10-03 10:00,ISM Services PMI,high
2025-10-08 14:00,FOMC Meeting Minutes,high
2025-10-24 08:30,Core CPI m/m,high
2025-10-24 08:30,CPI m/m,high
2025-10-24 08:30,CPI y/y,high
2025-10-29 14:00,Federal Funds Rate,high
2025-10-29 14:00,FOMC Statement,high
2025-10-29 14:30,FOMC Press Conference,high
2025-11-03 10:00,ISM Manufacturing PMI,high
2025-11-05 10:00,ISM Services PMI,high
2025-11-19 14:00,FOMC Meeting Minutes,high
2025-11-20 08:30,Average Hourly Earnings m/m,high
2025-11-20 08:30,Non-Farm Employment Change,high
2025-11-20 08:30,Unemployment Rate,high
2025-11-25 08:30,Core Retail Sales m/m,high
2025-11-25 08:30,Retail Sales m/m,high
2025-12-01 10:00,ISM Manufacturing PMI,high
2025-12-03 10:00,ISM Services PMI,high
2025-12-05 10:00,Core PCE Price Index m/m,high
2025-12-10 14:00,Federal Funds Rate,high
2025-12-10 14:00,FOMC Economic Projections,high
2025-12-10 14:00,FOMC Statement,high
2025-12-10 14:30,FOMC Press Conference,high
2025-12-16 08:30,Average Hourly Earnings m/m,high
2025-12-16 08:30,Core Retail Sales m/m,high
2025-12-16 08:30,Non-Farm Employment Change,high
2025-12-16 08:30,Retail Sales m/m,high
2025-12-16 08:30,Unemployment Rate,high
2025-12-18 08:30,CPI y/y,high
2025-12-30 14:00,FOMC Meeting Minutes,high
2026-01-05 10:00,ISM Manufacturing PMI,high
2026-01-07 10:00,ISM Services PMI,high
2026-01-09 08:30,Average Hourly Earnings m/m,high
2026-01-09 08:30,Non-Farm Employment Change,high
2026-01-09 08:30,Unemployment Rate,high
2026-01-13 08:30,Core CPI m/m,high
2026-01-13 08:30,CPI m/m,high
2026-01-13 08:30,CPI y/y,high
2026-01-14 08:30,Core Retail Sales m/m,high
2026-01-14 08:30,Retail Sales m/m,high
2026-01-22 10:00,Core PCE Price Index m/m,high
2026-01-28 14:00,Federal Funds Rate,high
2026-01-28 14:00,FOMC Statement,high
2026-01-28 14:30,FOMC Press Conference,high
