day,ft,seg,oos,pl,pl_t45
2026-02-19,2026-02-19 13:39:00+00:00,mid 08:30-08:59,True,-43.0,-205.92
2026-02-23,2026-02-23 13:05:00+00:00,early 08:00-08:29,True,1969.0,585.86
2026-02-24,2026-02-24 13:03:00+00:00,early 08:00-08:29,True,606.375,1383.3600000000001
2026-02-24,2026-02-24 13:03:00+00:00,early 08:00-08:29,True,1364.0,1377.8600000000001
2026-02-25,2026-02-25 13:21:00+00:00,early 08:00-08:29,True,-205.0,-212.39999999999998
2026-02-25,2026-02-25 14:23:00+00:00,late 09:00-09:29,True,360.5,2399.3199999999997
2026-03-09,2026-03-09 12:55:00+00:00,mid 08:30-08:59,True,-139.5,-141.72
2026-03-09,2026-03-09 13:01:00+00:00,late 09:00-09:29,True,1128.0,-226.44
2026-03-12,2026-03-12 12:37:00+00:00,mid 08:30-08:59,True,-200.0,-196.20000000000002
2026-03-13,2026-03-13 12:31:00+00:00,mid 08:30-08:59,True,169.5,-60.72
2026-03-17,2026-03-17 12:26:00+00:00,early 08:00-08:29,True,3096.0,1593.12
2026-03-17,2026-03-17 12:56:00+00:00,mid 08:30-08:59,True,1221.5,4063.64
2026-03-20,2026-03-20 12:01:00+00:00,early 08:00-08:29,True,-69.5,-70.24
2026-03-20,2026-03-20 12:06:00+00:00,early 08:00-08:29,True,502.0,295.04
2026-03-24,2026-03-24 12:06:00+00:00,early 08:00-08:29,True,261.0,285.52
2026-03-25,2026-03-25 12:01:00+00:00,early 08:00-08:29,True,-79.0,-79.74
2026-03-26,2026-03-26 13:21:00+00:00,late 09:00-09:29,True,-121.5,-123.72
2026-03-31,2026-03-31 12:59:00+00:00,mid 08:30-08:59,True,-116.0,-118.96
2026-03-31,2026-03-31 13:21:00+00:00,late 09:00-09:29,True,34.5,-172.44
2026-04-02,2026-04-02 13:01:00+00:00,late 09:00-09:29,True,-120.0,-122.22
2026-04-06,2026-04-06 12:47:00+00:00,mid 08:30-08:59,True,-83.0,-84.48
2026-04-07,2026-04-07 12:01:00+00:00,early 08:00-08:29,True,39.0,-83.48
2026-04-07,2026-04-07 12:06:00+00:00,early 08:00-08:29,True,-156.0,-158.22
2026-04-08,2026-04-08 12:02:00+00:00,early 08:00-08:29,True,332.0,-213.92
2026-04-08,2026-04-08 12:06:00+00:00,early 08:00-08:29,True,-134.0,-135.48
2026-04-10,2026-04-10 12:05:00+00:00,early 08:00-08:29,True,-54.0,-56.22
2026-04-13,2026-04-13 12:35:00+00:00,mid 08:30-08:59,True,784.0,714.08
2026-04-15,2026-04-15 12:03:00+00:00,early 08:00-08:29,True,-92.0,-93.48
2026-04-16,2026-04-16 12:58:00+00:00,mid 08:30-08:59,True,-105.0,-110.18
2026-04-17,2026-04-17 12:25:00+00:00,early 08:00-08:29,True,-3.0,828.52
2026-04-20,2026-04-20 12:01:00+00:00,early 08:00-08:29,True,122.0,209.04
2026-04-24,2026-04-24 12:24:00+00:00,early 08:00-08:29,True,-181.5,-183.72
2026-04-27,2026-04-27 12:25:00+00:00,early 08:00-08:29,True,141.0,39.52
2026-04-29,2026-04-29 12:03:00+00:00,early 08:00-08:29,True,315.0,193.56
2026-04-29,2026-04-29 12:41:00+00:00,mid 08:30-08:59,True,-223.5,-225.71999999999997
2026-04-30,2026-04-30 13:12:00+00:00,late 09:00-09:29,True,445.5,1797.78
2026-05-01,2026-05-01 12:41:00+00:00,mid 08:30-08:59,True,-96.0,-98.22
2026-05-04,2026-05-04 12:13:00+00:00,early 08:00-08:29,True,-205.0,-208.70000000000002
