fib,side,score,R,fill,day,hm,hold_min,htf,has_sweep,span
0.71,short,3,-1.0,2023-01-27 09:30:00-05:00,2023-01-27,570,1,premium,True,49.25
0.71,short,3,-1.0,2023-01-31 15:59:00-05:00,2023-01-31,959,1269,premium,False,138.0
0.75,short,3,3.0,2023-01-30 10:05:00-05:00,2023-01-30,605,22,premium,False,137.25
0.71,short,3,2.4482758620689653,2023-01-30 10:01:00-05:00,2023-01-30,601,26,premium,False,137.25
0.75,short,4,-1.0,2023-01-31 10:50:00-05:00,2023-01-31,650,232,premium,True,128.25
0.71,short,4,-1.0,2023-01-31 10:50:00-05:00,2023-01-31,650,232,premium,True,128.25
0.75,short,4,-1.0,2023-01-31 10:50:00-05:00,2023-01-31,650,232,premium,True,152.0
0.71,short,4,-1.0,2023-01-31 10:30:00-05:00,2023-01-31,630,252,premium,True,152.0
0.75,short,4,3.0,2023-01-30 21:21:00-05:00,2023-01-30,1281,54,premium,True,22.75
0.71,short,4,2.4482758620689653,2023-01-30 21:19:00-05:00,2023-01-30,1279,56,premium,True,22.75
0.75,short,4,3.0,2023-01-31 02:59:00-05:00,2023-01-31,179,44,premium,True,76.75
0.71,short,4,2.4482758620689653,2023-01-31 02:52:00-05:00,2023-01-31,172,51,premium,True,76.75
0.75,long,2,3.0,2023-02-01 14:33:00-05:00,2023-02-01,873,4,premium,False,114.25
0.71,long,2,2.4482758620689653,2023-02-01 14:00:00-05:00,2023-02-01,840,7,premium,False,114.25
0.75,short,3,-1.0,2023-01-31 23:26:00-05:00,2023-01-31,1406,182,premium,True,42.75
0.71,short,3,-1.0,2023-01-31 23:26:00-05:00,2023-01-31,1406,182,premium,True,42.75
0.75,long,3,-1.0,2023-02-01 10:51:00-05:00,2023-02-01,651,1,premium,True,26.25
0.71,long,2,-1.0,2023-02-01 10:51:00-05:00,2023-02-01,651,1,premium,True,26.25
0.75,long,2,-1.0,2023-02-01 10:51:00-05:00,2023-02-01,651,8,premium,False,62.75
0.71,long,2,2.4482758620689653,2023-02-01 09:35:00-05:00,2023-02-01,575,19,premium,False,62.75
0.75,long,2,-1.0,2023-02-01 09:34:00-05:00,2023-02-01,574,1,premium,False,64.75
0.71,long,2,-1.0,2023-02-01 09:33:00-05:00,2023-02-01,573,2,premium,False,64.75
0.75,short,3,-1.0,2023-02-01 11:45:00-05:00,2023-02-01,705,134,premium,True,78.0
0.71,short,3,-1.0,2023-02-01 11:45:00-05:00,2023-02-01,705,134,premium,True,78.0
0.75,short,3,-1.0,2023-02-01 11:45:00-05:00,2023-02-01,705,134,premium,True,78.0
0.71,short,3,-1.0,2023-02-01 11:45:00-05:00,2023-02-01,705,134,premium,True,78.0
0.75,long,3,3.0,2023-02-03 02:56:00-05:00,2023-02-03,176,313,premium,True,195.5
0.71,long,3,2.4482758620689653,2023-02-03 02:38:00-05:00,2023-02-03,158,331,premium,True,195.5
0.75,short,4,-1.0,2023-02-02 15:52:00-05:00,2023-02-02,952,8,premium,True,165.25
0.71,short,4,-1.0,2023-02-02 15:52:00-05:00,2023-02-02,952,8,premium,True,165.25
0.75,short,4,3.0,2023-02-03 11:31:00-05:00,2023-02-03,691,135,premium,True,331.5
0.71,short,4,2.4482758620689653,2023-02-03 10:47:00-05:00,2023-02-03,647,179,premium,True,331.5
0.75,short,3,3.0,2023-02-03 11:31:00-05:00,2023-02-03,691,135,premium,True,331.0
0.71,short,3,2.4482758620689653,2023-02-03 10:47:00-05:00,2023-02-03,647,179,premium,True,331.0
0.75,long,1,-1.0,2023-02-03 02:29:00-05:00,2023-02-03,149,6,premium,False,58.0
0.71,long,1,-1.0,2023-02-03 02:28:00-05:00,2023-02-03,148,7,premium,False,58.0
0.75,short,3,-1.0,2023-02-03 04:31:00-05:00,2023-02-03,271,120,premium,False,95.25
0.71,short,3,-1.0,2023-02-03 04:31:00-05:00,2023-02-03,271,120,premium,False,95.25
0.75,short,3,-1.0,2023-02-03 10:00:00-05:00,2023-02-03,600,16,premium,False,209.75
