trading_date,entry_price,n_bars,prev_poc,midnight_open,day_open,prev_val,prev_vah,R_long,MFE_long,MAE_long,pts_long,stopped_long,R_short,MFE_short,MAE_short,pts_short,stopped_short
2024-04-12,18297.0,391,18242.25,18488.25,18486.25,18112.25,18332.75,-1.0,46.25,30.0,-108.5,True,-1.0,16.0,30.0,108.5,True
2024-04-15,18335.75,391,18147.25,18231.0,18151.0,18126.75,18295.25,-1.0,3.25,30.0,-471.5,True,15.716666666666667,494.25,3.25,471.5,False
2024-04-16,17868.25,391,17876.75,17847.0,17879.0,17841.5,18231.25,-1.0,19.25,30.0,7.0,True,-1.0,46.25,30.0,-7.0,True
2024-04-17,17957.25,391,17874.0,17929.5,17897.0,17853.0,17919.5,-1.0,2.25,30.0,-316.0,True,10.533333333333333,342.0,2.25,316.0,False
2024-04-18,17673.5,391,17693.75,17730.0,17669.75,17638.25,17844.25,-1.0,5.25,30.0,-120.75,True,-1.0,121.5,30.0,120.75,True
2024-04-19,17495.0,391,17694.5,17338.5,17530.75,17572.5,17733.0,-1.0,0.25,30.0,-319.25,True,10.641666666666667,381.75,22.0,319.25,False
2024-04-23,17428.75,391,17267.25,17332.0,17352.25,17182.25,17338.25,5.841666666666667,228.5,15.0,175.25,False,-1.0,15.0,30.0,-175.25,True
2024-04-24,17731.0,391,17592.25,17732.75,17682.0,17488.25,17660.75,-1.0,64.5,30.0,-65.25,True,-1.0,17.75,30.0,65.25,True
2024-04-26,17696.75,391,17368.25,17769.5,17808.25,17329.75,17509.25,4.975,204.75,28.5,149.25,False,-1.0,28.5,30.0,-149.25,True
2024-04-29,17921.5,391,17836.5,17901.25,17864.75,17768.5,17889.5,-1.0,27.5,30.0,3.5,True,-0.11666666666666667,130.25,27.5,-3.5,False
2024-04-30,17836.25,391,17887.25,17910.75,17918.5,17863.75,17916.25,-1.0,59.0,30.0,-254.75,True,-1.0,12.25,30.0,254.75,True
2024-05-02,17583.0,391,17466.0,17549.25,17487.0,17413.0,17529.0,-1.0,19.5,30.0,91.75,True,-1.0,196.75,30.0,-91.75,True
2024-05-03,17957.5,391,17538.0,17762.75,17744.25,17483.0,17622.5,-1.0,8.0,30.0,55.0,True,-1.0,38.25,30.0,-55.0,True
2024-05-06,18074.25,391,17998.75,18006.0,18047.5,17922.75,18018.75,-1.0,2.25,30.0,120.25,True,-1.0,31.5,30.0,-120.25,True
2024-05-07,18211.25,391,18094.5,18188.25,18189.5,18041.5,18134.0,-1.0,55.0,30.0,-12.0,True,-1.0,29.5,30.0,12.0,True
2024-05-08,18084.0,391,18194.75,18194.0,18194.0,18167.75,18229.75,3.1416666666666666,158.25,5.5,94.25,False,-1.0,5.5,30.0,-94.25,True
2024-05-09,18186.75,391,18183.5,18159.25,18160.75,18155.0,18210.0,-1.0,17.25,30.0,27.5,True,-1.0,78.0,30.0,-27.5,True
2024-05-10,18274.25,391,18211.0,18217.0,18226.0,18167.0,18231.5,-1.0,73.75,30.0,-26.5,True,-1.0,17.0,30.0,26.5,True
2024-05-13,18331.75,391,18244.75,18278.0,18238.0,18209.75,18270.75,-1.0,4.5,30.0,-35.75,True,1.1916666666666667,96.75,4.5,35.75,False
2024-05-14,18274.25,391,18293.5,18266.0,18282.0,18273.5,18306.0,4.6,158.75,8.75,138.0,False,-1.0,8.75,30.0,-138.0,True
2024-05-15,18509.5,391,18305.5,18423.5,18409.75,18273.0,18365.5,-1.0,22.5,30.0,171.75,True,-1.0,62.75,30.0,-171.75,True
2024-05-16,18678.75,391,18682.0,18732.75,18693.25,18508.0,18707.0,-1.0,82.0,30.0,-33.25,True,-1.0,6.75,30.0,33.25,True
2024-05-17,18651.25,391,18687.5,18650.75,18642.0,18675.5,18727.5,-1.0,16.25,30.0,-28.0,True,0.9333333333333333,106.25,25.75,28.0,False
2024-05-20,18643.5,391,18634.75,18669.75,18633.5,18620.75,18663.75,4.225,151.0,8.25,126.75,False,-1.0,8.25,30.0,-126.75,True
2024-05-21,18686.0,391,18748.0,18751.25,18746.0,18728.5,18784.0,3.6083333333333334,122.75,8.0,108.25,False,-1.0,8.0,30.0,-108.25,True
2024-05-22,18808.0,391,18751.25,18810.0,18798.25,18715.75,18785.75,-1.0,30.75,30.0,5.0,True,-1.0,19.25,30.0,-5.0,True
2024-05-24,18762.25,391,18898.0,18711.25,18684.0,18745.0,19008.0,3.7333333333333334,163.75,29.75,112.0,False,-1.0,29.75,30.0,-112.0,True
