Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1479,Entry short,2025-04-30 20:33,S @ 19562,19562.25,1,391245,250,0.06,10,255,0.07,-95,-0.02,-7530,-0.75,6
1480,Exit short,2025-04-30 20:52,xS,19557,1,391245,95,0.02,10,100,0.03,-25,-0.01,-7435,-0.74,1
1480,Entry short,2025-04-30 20:51,S @ 19562,19562.25,1,391245,95,0.02,10,100,0.03,-25,-0.01,-7435,-0.74,1
1481,Exit long,2025-04-30 21:24,xL,19554.25,1,391235,-160,-0.04,10,30,0.01,-155,-0.04,-7595,-0.76,3
1481,Entry long,2025-04-30 21:21,L @ 19562,19561.75,1,391235,-160,-0.04,10,30,0.01,-155,-0.04,-7595,-0.76,3
1482,Exit short,2025-05-02 13:33,xS,19969,1,399485,95,0.02,10,100,0.03,-35,-0.01,-7500,-0.75,0
1482,Entry short,2025-05-02 13:33,S @ 19974,19974.25,1,399485,95,0.02,10,100,0.03,-35,-0.01,-7500,-0.75,0
1483,Exit long,2025-05-02 13:45,SAR,19971,1,399475,-65,-0.02,10,0,0.00,-80,-0.02,-7565,-0.76,1
1483,Entry long,2025-05-02 13:44,L @ 19974,19973.75,1,399475,-65,-0.02,10,0,0.00,-80,-0.02,-7565,-0.76,1
1484,Exit short,2025-05-02 13:51,xS,19979,1,399485,-105,-0.03,10,15,0.00,-100,-0.03,-7670,-0.77,3
1484,Entry short,2025-05-02 13:48,S @ 19974,19974.25,1,399485,-105,-0.03,10,15,0.00,-100,-0.03,-7670,-0.77,3
1485,Exit long,2025-05-02 14:26,SAR,19969.25,1,399475,-100,-0.03,10,0,0.00,-120,-0.03,-7770,-0.78,1
1485,Entry long,2025-05-02 14:25,L @ 19974,19973.75,1,399475,-100,-0.03,10,0,0.00,-120,-0.03,-7770,-0.78,1
1486,Exit short,2025-05-02 14:37,xS,19979,1,399485,-105,-0.03,10,90,0.02,-100,-0.03,-7875,-0.79,8
1486,Entry short,2025-05-02 14:29,S @ 19974,19974.25,1,399485,-105,-0.03,10,90,0.02,-100,-0.03,-7875,-0.79,8
1487,Exit short,2025-05-07 23:31,xS,19904,1,397985,-105,-0.03,10,0,0.00,-100,-0.03,-7980,-0.80,0
1487,Entry short,2025-05-07 23:31,S @ 19899,19899.25,1,397985,-105,-0.03,10,0,0.00,-100,-0.03,-7980,-0.80,0
1488,Exit long,2025-05-07 23:34,xL,19894,1,397975,-105,-0.03,10,0,0.00,-100,-0.03,-8085,-0.81,0
1488,Entry long,2025-05-07 23:34,L @ 19899,19898.75,1,397975,-105,-0.03,10,0,0.00,-100,-0.03,-8085,-0.81,0
