Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3044,Exit long,2026-06-22 17:24,xL,30764.5,1,615410,-130,-0.02,10,0,0.00,-125,-0.02,-24170,-2.42,1
3044,Entry long,2026-06-22 17:23,L @ 30770.75,30770.5,1,615410,-130,-0.02,10,0,0.00,-125,-0.02,-24170,-2.42,1
3045,Exit short,2026-06-22 17:35,xS,30775.75,1,615420,-105,-0.02,10,30,0.00,-100,-0.02,-24275,-2.43,1
3045,Entry short,2026-06-22 17:34,S @ 30770.75,30771,1,615420,-105,-0.02,10,30,0.00,-100,-0.02,-24275,-2.43,1
3046,Exit short,2026-06-22 21:40,xS,30758.75,1,615420,235,0.04,10,240,0.04,-5,0.00,-24040,-2.40,0
3046,Entry short,2026-06-22 21:40,S @ 30770.75,30771,1,615420,235,0.04,10,240,0.04,-5,0.00,-24040,-2.40,0
3047,Exit long,2026-06-22 23:33,xL,30765.75,1,615410,-105,-0.02,10,0,0.00,-100,-0.02,-24145,-2.41,0
3047,Entry long,2026-06-22 23:33,L @ 30770.75,30770.5,1,615410,-105,-0.02,10,0,0.00,-100,-0.02,-24145,-2.41,0
3048,Exit short,2026-06-23 13:45,xS,30329.75,1,606755,150,0.02,10,155,0.03,-40,-0.01,-23995,-2.40,0
3048,Entry short,2026-06-23 13:45,S @ 30337.5,30337.75,1,606755,150,0.02,10,155,0.03,-40,-0.01,-23995,-2.40,0
3049,Exit short,2026-06-23 14:30,xS,30320,1,606755,345,0.06,10,350,0.06,-10,0.00,-23650,-2.37,1
3049,Entry short,2026-06-23 14:29,S @ 30337.5,30337.75,1,606755,345,0.06,10,350,0.06,-10,0.00,-23650,-2.37,1
3050,Exit short,2026-06-25 00:21,xS,29582.75,1,591550,-115,-0.02,10,0,0.00,-110,-0.02,-23765,-2.38,0
3050,Entry short,2026-06-25 00:21,S @ 29577.25,29577.5,1,591550,-115,-0.02,10,0,0.00,-110,-0.02,-23765,-2.38,0
3051,Exit long,2026-06-25 03:08,SAR,29560.25,1,591540,-345,-0.06,10,125,0.02,-440,-0.07,-24110,-2.41,1
3051,Entry long,2026-06-25 03:07,L @ 29577.25,29577,1,591540,-345,-0.06,10,125,0.02,-440,-0.07,-24110,-2.41,1
3052,Exit short,2026-06-25 03:11,SAR,29586.25,1,591550,-185,-0.03,10,30,0.01,-210,-0.04,-24295,-2.43,1
3052,Entry short,2026-06-25 03:10,S @ 29577.25,29577.5,1,591550,-185,-0.03,10,30,0.01,-210,-0.04,-24295,-2.43,1
3053,Exit short,2026-06-25 03:12,xS,29566.25,1,591550,215,0.04,10,220,0.04,-175,-0.03,-24080,-2.41,0
3053,Entry short,2026-06-25 03:12,S @ 29577.25,29577.5,1,591550,215,0.04,10,220,0.04,-175,-0.03,-24080,-2.41,0
3054,Exit long,2026-06-25 17:36,xL,30150.25,1,603150,-155,-0.03,10,25,0.00,-150,-0.02,-24235,-2.42,0
3054,Entry long,2026-06-25 17:36,L @ 30157.75,30157.5,1,603150,-155,-0.03,10,25,0.00,-150,-0.02,-24235,-2.42,0
3055,Exit long,2026-06-25 17:53,xL,30166.5,1,603150,170,0.03,10,175,0.03,-10,0.00,-24065,-2.41,2
3055,Entry long,2026-06-25 17:51,L @ 30157.75,30157.5,1,603150,170,0.03,10,175,0.03,-10,0.00,-24065,-2.41,2
3056,Exit long,2026-06-25 18:45,SAR,30154,1,603150,-80,-0.01,10,75,0.01,-75,-0.01,-24145,-2.41,1
3056,Entry long,2026-06-25 18:44,L @ 30157.75,30157.5,1,603150,-80,-0.01,10,75,0.01,-75,-0.01,-24145,-2.41,1
3057,Exit short,2026-06-25 19:54,xS,30150,1,603160,150,0.02,10,155,0.03,-5,0.00,-23995,-2.40,2
3057,Entry short,2026-06-25 19:52,S @ 30157.75,30158,1,603160,150,0.02,10,155,0.03,-5,0.00,-23995,-2.40,2
3058,Exit long,2026-06-25 20:20,xL,30152.75,1,603150,-105,-0.02,10,0,0.00,-100,-0.02,-24100,-2.41,0
3058,Entry long,2026-06-25 20:20,L @ 30157.75,30157.5,1,603150,-105,-0.02,10,0,0.00,-100,-0.02,-24100,-2.41,0
3059,Exit short,2026-06-25 20:25,xS,30165.5,1,603160,-160,-0.03,10,40,0.01,-155,-0.03,-24260,-2.43,1
3059,Entry short,2026-06-25 20:24,S @ 30157.75,30158,1,603160,-160,-0.03,10,40,0.01,-155,-0.03,-24260,-2.43,1
3060,Exit long,2026-06-25 20:36,xL,30163,1,603150,100,0.02,10,105,0.02,-25,0.00,-24160,-2.42,1
3060,Entry long,2026-06-25 20:35,L @ 30157.75,30157.5,1,603150,100,0.02,10,105,0.02,-25,0.00,-24160,-2.42,1
3061,Exit long,2026-06-25 20:58,xL,30152.25,1,603150,-115,-0.02,10,20,0.00,-110,-0.02,-24275,-2.43,0
3061,Entry long,2026-06-25 20:58,L @ 30157.75,30157.5,1,603150,-115,-0.02,10,20,0.00,-110,-0.02,-24275,-2.43,0
3062,Exit long,2026-06-25 22:13,xL,30151.25,1,603150,-135,-0.02,10,30,0.00,-130,-0.02,-24410,-2.44,0
3062,Entry long,2026-06-25 22:13,L @ 30157.75,30157.5,1,603150,-135,-0.02,10,30,0.00,-130,-0.02,-24410,-2.44,0
3063,Exit short,2026-06-25 22:30,xS,30167.5,1,603160,-200,-0.03,10,0,0.00,-195,-0.03,-24610,-2.46,0
3063,Entry short,2026-06-25 22:30,S @ 30157.75,30158,1,603160,-200,-0.03,10,0,0.00,-195,-0.03,-24610,-2.46,0
3064,Exit short,2026-06-25 23:25,xS,30165.25,1,603160,-155,-0.03,10,0,0.00,-150,-0.02,-24765,-2.48,0
3064,Entry short,2026-06-25 23:25,S @ 30157.75,30158,1,603160,-155,-0.03,10,0,0.00,-150,-0.02,-24765,-2.48,0
3065,Exit long,2026-06-25 23:30,SAR,30153.25,1,603150,-95,-0.02,10,115,0.02,-175,-0.03,-24860,-2.49,2
3065,Entry long,2026-06-25 23:28,L @ 30157.75,30157.5,1,603150,-95,-0.02,10,115,0.02,-175,-0.03,-24860,-2.49,2
3066,Exit short,2026-06-26 13:54,xS,29319.25,1,585920,-475,-0.08,10,95,0.02,-470,-0.08,-25335,-2.53,0
3066,Entry short,2026-06-26 13:54,S @ 29295.75,29296,1,585920,-475,-0.08,10,95,0.02,-470,-0.08,-25335,-2.53,0
3067,Exit long,2026-06-26 14:26,SAR,29288.5,1,585910,-150,-0.03,10,185,0.03,-170,-0.03,-25485,-2.55,1
3067,Entry long,2026-06-26 14:25,L @ 29295.75,29295.5,1,585910,-150,-0.03,10,185,0.03,-170,-0.03,-25485,-2.55,1
3068,Exit long,2026-06-26 14:35,SAR,29294.25,1,585910,-35,-0.01,10,45,0.01,-115,-0.02,-25520,-2.55,1
3068,Entry long,2026-06-26 14:34,L @ 29295.75,29295.5,1,585910,-35,-0.01,10,45,0.01,-115,-0.02,-25520,-2.55,1
3069,Exit short,2026-06-26 14:37,xS,29300.75,1,585920,-105,-0.02,10,0,0.00,-100,-0.02,-25625,-2.56,0
3069,Entry short,2026-06-26 14:37,S @ 29295.75,29296,1,585920,-105,-0.02,10,0,0.00,-100,-0.02,-25625,-2.56,0
3070,Exit short,2026-06-26 14:44,xS,29306.5,1,585920,-220,-0.04,10,0,0.00,-215,-0.04,-25845,-2.58,0
3070,Entry short,2026-06-26 14:44,S @ 29295.75,29296,1,585920,-220,-0.04,10,0,0.00,-215,-0.04,-25845,-2.58,0
3071,Exit long,2026-06-26 14:47,xL,29284.5,1,585910,-230,-0.04,10,40,0.01,-225,-0.04,-26075,-2.61,2
3071,Entry long,2026-06-26 14:45,L @ 29295.75,29295.5,1,585910,-230,-0.04,10,40,0.01,-225,-0.04,-26075,-2.61,2
3072,Exit short,2026-06-26 15:10,xS,29304.25,1,585920,-175,-0.03,10,0,0.00,-170,-0.03,-26250,-2.62,0
3072,Entry short,2026-06-26 15:10,S @ 29295.75,29296,1,585920,-175,-0.03,10,0,0.00,-170,-0.03,-26250,-2.62,0
3073,Exit long,2026-06-26 15:12,xL,29307.5,1,585910,230,0.04,10,235,0.04,-15,0.00,-26020,-2.60,0
3073,Entry long,2026-06-26 15:12,L @ 29295.75,29295.5,1,585910,230,0.04,10,235,0.04,-15,0.00,-26020,-2.60,0
3074,Exit long,2026-06-26 23:01,SAR,29288.75,1,585910,-145,-0.02,10,0,0.00,-140,-0.02,-26165,-2.62,1
3074,Entry long,2026-06-26 23:00,L @ 29295.75,29295.5,1,585910,-145,-0.02,10,0,0.00,-140,-0.02,-26165,-2.62,1
3075,Exit short,2026-06-26 23:22,SAR,29304.75,1,585920,-185,-0.03,10,65,0.01,-195,-0.03,-26350,-2.63,1
3075,Entry short,2026-06-26 23:21,S @ 29295.75,29296,1,585920,-185,-0.03,10,65,0.01,-195,-0.03,-26350,-2.63,1
