Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2606,Exit short,2025-04-15 22:06,xS,18909,1,378305,115,0.03,10,120,0.03,-5,0.00,-27225,-2.72,1
2606,Entry short,2025-04-15 22:05,S @ 18915,18915.25,1,378305,115,0.03,10,120,0.03,-5,0.00,-27225,-2.72,1
2607,Exit long,2025-04-15 22:11,xL,18908.5,1,378295,-135,-0.04,10,40,0.01,-130,-0.03,-27360,-2.74,1
2607,Entry long,2025-04-15 22:10,L @ 18915,18914.75,1,378295,-135,-0.04,10,40,0.01,-130,-0.03,-27360,-2.74,1
2608,Exit long,2025-04-15 22:15,xL,18906.25,1,378295,-180,-0.05,10,90,0.02,-175,-0.05,-27540,-2.75,2
2608,Entry long,2025-04-15 22:13,L @ 18915,18914.75,1,378295,-180,-0.05,10,90,0.02,-175,-0.05,-27540,-2.75,2
2609,Exit short,2025-04-15 22:44,xS,18920,1,378305,-105,-0.03,10,5,0.00,-100,-0.03,-27645,-2.76,1
2609,Entry short,2025-04-15 22:43,S @ 18915,18915.25,1,378305,-105,-0.03,10,5,0.00,-100,-0.03,-27645,-2.76,1
2610,Exit short,2025-04-15 22:48,xS,18924,1,378305,-185,-0.05,10,0,0.00,-180,-0.05,-27830,-2.78,0
2610,Entry short,2025-04-15 22:48,S @ 18915,18915.25,1,378305,-185,-0.05,10,0,0.00,-180,-0.05,-27830,-2.78,0
2611,Exit short,2025-04-15 22:54,SAR,18924.25,1,378305,-190,-0.05,10,0,0.00,-200,-0.05,-28020,-2.80,1
2611,Entry short,2025-04-15 22:53,S @ 18915,18915.25,1,378305,-190,-0.05,10,0,0.00,-200,-0.05,-28020,-2.80,1
2612,Exit long,2025-04-16 03:24,xL,18925,1,378295,195,0.05,10,200,0.05,-130,-0.03,-27825,-2.78,1
2612,Entry long,2025-04-16 03:23,L @ 18915,18914.75,1,378295,195,0.05,10,200,0.05,-130,-0.03,-27825,-2.78,1
2613,Exit long,2025-04-16 03:55,xL,18922.25,1,378295,140,0.04,10,145,0.04,-55,-0.01,-27685,-2.77,0
