Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
8251,Exit short,2025-08-26 03:23,xS,23587,1,471845,95,0.02,10,100,0.02,-5,0.00,-106655,-10.67,1
8251,Entry short,2025-08-26 03:22,S @ 23592,23592.25,1,471845,95,0.02,10,100,0.02,-5,0.00,-106655,-10.67,1
8252,Exit short,2025-08-26 05:50,xS,23546,1,471025,95,0.02,10,100,0.02,-85,-0.02,-106560,-10.66,0
8252,Entry short,2025-08-26 05:50,S @ 23551,23551.25,1,471025,95,0.02,10,100,0.02,-85,-0.02,-106560,-10.66,0
8253,Exit short,2025-08-27 00:03,xS,23495.5,1,470055,135,0.03,10,140,0.03,-50,-0.01,-106425,-10.64,1
8253,Entry short,2025-08-27 00:02,S @ 23502.5,23502.75,1,470055,135,0.03,10,140,0.03,-50,-0.01,-106425,-10.64,1
8254,Exit short,2025-08-27 00:10,xS,23514,1,470080,-210,-0.04,10,110,0.02,-205,-0.04,-106635,-10.66,2
8254,Entry short,2025-08-27 00:08,S @ 23503.75,23504,1,470080,-210,-0.04,10,110,0.02,-205,-0.04,-106635,-10.66,2
8255,Exit long,2025-08-27 00:11,xL,23498,1,470100,-150,-0.03,10,0,0.00,-145,-0.03,-106785,-10.68,0
8255,Entry long,2025-08-27 00:11,L @ 23505.25,23505,1,470100,-150,-0.03,10,0,0.00,-145,-0.03,-106785,-10.68,0
8256,Exit short,2025-08-27 00:17,SAR,23510.5,1,470115,-105,-0.02,10,90,0.02,-210,-0.04,-106890,-10.69,3
8256,Entry short,2025-08-27 00:14,S @ 23505.5,23505.75,1,470115,-105,-0.02,10,90,0.02,-210,-0.04,-106890,-10.69,3
8257,Exit short,2025-08-27 00:43,SAR,23529.25,1,470490,-105,-0.02,10,0,0.00,-160,-0.03,-106995,-10.70,1
8257,Entry short,2025-08-27 00:42,S @ 23524.25,23524.5,1,470490,-105,-0.02,10,0,0.00,-160,-0.03,-106995,-10.70,1
8258,Exit long,2025-08-27 00:59,xL,23524.25,1,470580,-105,-0.02,10,0,0.00,-100,-0.02,-107100,-10.71,0
8258,Entry long,2025-08-27 00:59,L @ 23529.25,23529,1,470580,-105,-0.02,10,0,0.00,-100,-0.02,-107100,-10.71,0
8259,Exit short,2025-08-27 01:06,xS,23519.5,1,470600,200,0.04,10,205,0.04,-45,-0.01,-106900,-10.69,4
8259,Entry short,2025-08-27 01:02,S @ 23529.75,23530,1,470600,200,0.04,10,205,0.04,-45,-0.01,-106900,-10.69,4
8260,Exit long,2025-08-27 01:34,xL,23500.25,1,470100,-105,-0.02,10,0,0.00,-100,-0.02,-107005,-10.70,0
8260,Entry long,2025-08-27 01:34,L @ 23505.25,23505,1,470100,-105,-0.02,10,0,0.00,-100,-0.02,-107005,-10.70,0
8261,Exit short,2025-08-27 01:38,SAR,23509.25,1,470110,-85,-0.02,10,125,0.03,-110,-0.02,-107090,-10.71,3
