file,family,scale,scale_anomaly,n,joined,med_dev_pts,frac_within_5pts,order_violations,in_span,ok
glbx-mdp3-20250617.mbp-10_condensed.csv,B,decimal,False,120,120,224.625,0.0,0,True,False
glbx-mdp3-20250618.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250619.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20250620.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250623.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250624.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250625.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250626.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250627.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250630.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250701.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250702.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250703.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250704.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250707.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250708.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250709.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250710.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250711.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250714.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250715.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250716.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250717.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250718.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250721.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250722.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250723.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250724.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250725.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250728.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250729.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250730.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250731.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250801.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250804.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250805.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250806.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250807.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250808.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250811.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250812.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250813.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250814.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250815.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250818.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250819.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250820.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250821.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250822.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250825.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250826.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250827.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250828.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250829.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250901.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250902.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250903.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250904.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250905.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250908.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20250909.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250910.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250911.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250912.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250915.mbp-10_condensed.csv,B,decimal,False,120,120,240.625,0.0,0,True,False
glbx-mdp3-20250916.mbp-10_condensed.csv,B,decimal,False,120,120,242.375,0.0,0,True,False
glbx-mdp3-20250917.mbp-10_condensed.csv,B,decimal,False,120,120,239.875,0.0,0,True,False
glbx-mdp3-20250918.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250919.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250922.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250923.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250924.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250925.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250926.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20250929.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20250930.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20251001.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251002.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251003.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
