file,family,date,session,scale_detected,n_minutes,n_joined,med_dev_pts,frac_within_5pts,ok
glbx-mdp3-20250722.mbp-10_condensed.csv,B,2025-07-22,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250731.mbp-10.csv,A,2025-07-31,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250731.mbp-10_condensed.csv,B,2025-07-31,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250819.mbp-10.csv,A,2025-08-19,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250819.mbp-10_condensed.csv,B,2025-08-19,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250828.mbp-10.csv,A,2025-08-28,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250828.mbp-10_condensed.csv,B,2025-08-28,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250916.mbp-10.csv,A,2025-09-16,ny_am,fixed1e9,150,150,244.0,0.0,False
glbx-mdp3-20250916.mbp-10_condensed.csv,B,2025-09-16,london,decimal,120,120,242.375,0.0,False
condensed_glbx-mdp3-20250925.mbp-10.csv,A,2025-09-25,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250925.mbp-10_condensed.csv,B,2025-09-25,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251014.mbp-10_condensed.csv,B,2025-10-14,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251023.mbp-10_condensed.csv,B,2025-10-23,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251111.mbp-10.csv,A,2025-11-11,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251111.mbp-10_condensed.csv,B,2025-11-11,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251120.mbp-10.csv,A,2025-11-20,ny_am,fixed1e9,150,150,0.375,0.9933333333333333,True
glbx-mdp3-20251120.mbp-10_condensed.csv,B,2025-11-20,london,decimal,120,120,0.5,1.0,True
glbx-mdp3-20251209.mbp-10_condensed.csv,B,2025-12-09,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251218.mbp-10_condensed.csv,B,2025-12-18,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260106.mbp-10_condensed.csv,B,2026-01-06,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260115.mbp-10_condensed.csv,B,2026-01-15,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250606.mbp-10.csv,A,2025-06-06,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250606.mbp-10_condensed.csv,B,2025-06-06,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250616.mbp-10.csv,A,2025-06-16,ny_am,fixed1e9,150,150,221.5,0.0,False
glbx-mdp3-20250616.mbp-10_condensed.csv,B,2025-06-16,london,decimal,120,120,221.875,0.0,False
condensed_glbx-mdp3-20250625.mbp-10.csv,A,2025-06-25,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250625.mbp-10_condensed.csv,B,2025-06-25,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250704.mbp-10.csv,A,2025-07-04,ny_am,fixed1e9,150,150,0.375,1.0,True
glbx-mdp3-20250704.mbp-10_condensed.csv,B,2025-07-04,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250714.mbp-10.csv,A,2025-07-14,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250714.mbp-10_condensed.csv,B,2025-07-14,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250723.mbp-10.csv,A,2025-07-23,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250723.mbp-10_condensed.csv,B,2025-07-23,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250801.mbp-10.csv,A,2025-08-01,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250801.mbp-10_condensed.csv,B,2025-08-01,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250811.mbp-10.csv,A,2025-08-11,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250811.mbp-10_condensed.csv,B,2025-08-11,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250820.mbp-10.csv,A,2025-08-20,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250820.mbp-10_condensed.csv,B,2025-08-20,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250829.mbp-10.csv,A,2025-08-29,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250829.mbp-10_condensed.csv,B,2025-08-29,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250908.mbp-10.csv,A,2025-09-08,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250908.mbp-10_condensed.csv,B,2025-09-08,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250917.mbp-10.csv,A,2025-09-17,ny_am,fixed1e9,150,150,240.375,0.0,False
glbx-mdp3-20250917.mbp-10_condensed.csv,B,2025-09-17,london,decimal,120,120,239.875,0.0,False
condensed_glbx-mdp3-20250926.mbp-10.csv,A,2025-09-26,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250926.mbp-10_condensed.csv,B,2025-09-26,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251006.mbp-10.csv,A,2025-10-06,ny_am,fixed1e9,150,150,0.25,1.0,True
