dir,entry_ts,entry_px,exit_ts,exit_px,signal,qty,pnl,comm,mfe,mae,bars
-1,2026-05-20 10:15:00,4479.3,2026-05-20 10:30:00,4510.0,XS,1,-3073,3,38.5,-3481.5,1
-1,2026-05-22 10:15:00,4497.7,2026-05-22 12:00:00,4521.4,scratch,1,-2373,3,878.5,-2551.5,7
-1,2026-05-26 10:00:00,4515.0,2026-05-26 11:45:00,4508.6,scratch,1,637,3,1248.5,-1061.5,7
1,2026-05-28 10:15:00,4495.2,2026-05-28 12:15:00,4525.2,XL,1,2997,3,2998.5,-1351.5,8
1,2026-05-29 10:00:00,4567.1,2026-05-29 10:15:00,4570.5,XL,1,337,3,1688.5,-191.5,1
-1,2026-06-02 10:00:00,4531.9,2026-06-02 10:15:00,4519.9,XS,1,1197,3,1198.5,-491.5,1
-1,2026-06-04 10:45:00,4502.5,2026-06-04 12:30:00,4511.6,scratch,1,-913,3,1868.5,-1071.5,7
-1,2026-06-05 10:00:00,4390.3,2026-06-05 11:45:00,4360.3,XS,1,2997,3,2998.5,-1391.5,7
-1,2026-06-09 10:15:00,4344.7,2026-06-09 10:30:00,4342.5,XS,1,217,3,1638.5,-331.5,1
-1,2026-06-10 11:00:00,4147.6,2026-06-10 12:45:00,4144.9,scratch,1,267,3,1798.5,-1211.5,7
1,2026-06-11 10:00:00,4104.1,2026-06-11 10:15:00,4081.6,XL,1,-2253,3,248.5,-3131.5,1
1,2026-06-12 11:15:00,4235.1,2026-06-12 13:00:00,4236.4,scratch,1,127,3,2168.5,-771.5,7
-1,2026-06-16 10:00:00,4352.4,2026-06-16 10:15:00,4342.9,XS,1,947,3,948.5,-761.5,1
1,2026-06-17 10:15:00,4362.6,2026-06-17 10:30:00,4380.0,XL,1,1737,3,1978.5,-171.5,1
-1,2026-06-18 10:00:00,4275.2,2026-06-18 11:15:00,4254.2,XS,1,2097,3,2098.5,-211.5,5
-1,2026-06-19 10:00:00,4169.0,2026-06-19 11:45:00,4166.1,scratch,1,287,3,878.5,-331.5,7
1,2026-06-23 10:00:00,4153.2,2026-06-23 11:45:00,4156.8,scratch,1,357,3,1028.5,-1321.5,7
1,2026-06-24 10:00:00,4055.0,2026-06-24 10:45:00,4024.9,XL,1,-3013,3,318.5,-3011.5,3
1,2026-06-25 12:00:00,4057.3,2026-06-25 13:45:00,4049.6,scratch,1,-773,3,268.5,-1821.5,7
1,2026-06-26 10:00:00,4088.7,2026-06-26 12:30:00,4102.4,scratch,1,1367,3,2278.5,-571.5,10
1,2026-06-30 10:00:00,4044.5,2026-06-30 10:15:00,4061.8,XL,1,1727,3,2018.5,-501.5,1
-1,2026-07-03 10:00:00,4176.5,2026-07-03 10:15:00,4174.8,XS,1,167,3,878.5,-281.5,1
-1,2026-07-07 11:15:00,4159.6,2026-07-07 13:00:00,4156.8,scratch,1,277,3,1268.5,-11.5,7
-1,2026-07-08 10:15:00,4068.1,2026-07-08 10:45:00,4044.7,XS,1,2337,3,2338.5,-831.5,2
1,2026-07-09 11:45:00,4140.3,2026-07-09 13:30:00,4141.6,scratch,1,127,3,808.5,-581.5,7
1,2026-07-10 12:00:00,4122.5,2026-07-10 13:45:00,4112.6,scratch,1,-993,3,228.5,-1121.5,7
1,2026-07-14 11:15:00,4097.7,2026-07-14 11:30:00,4083.2,XL,1,-1453,3,108.5,-1451.5,1
1,2026-07-15 10:15:00,4071.4,2026-07-15 10:45:00,4061.8,XL,1,-963,3,158.5,-961.5,2
1,2026-07-17 11:15:00,4010.4,2026-07-17 13:00:00,4019.9,scratch,1,947,3,1848.5,-141.5,7
1,2026-07-21 10:15:00,4070.6,2026-07-21 12:00:00,4078.4,scratch,1,777,3,1738.5,-491.5,7
1,2026-07-22 10:00:00,4159.9,2026-07-22 11:45:00,4165.0,scratch,1,507,3,888.5,-1131.5,7
-1,2026-07-23 10:00:00,4046.0,2026-07-23 11:45:00,4050.7,scratch,1,-473,3,348.5,-1871.5,7
1,2026-07-24 10:00:00,4070.0,2026-07-24 11:45:00,4075.0,scratch,1,497,3,1518.5,-1161.5,7
1,2026-07-28 11:45:00,4042.0,2026-07-28 13:30:00,4038.0,scratch,1,-403,3,538.5,-671.5,7
-1,2026-07-29 10:00:00,4005.2,2026-07-29 10:15:00,4002.7,XS,1,247,3,1138.5,-121.5,1
1,2026-07-30 10:00:00,4172.2,2026-07-30 11:00:00,4142.1,XL,1,-3013,3,798.5,-3011.5,4
1,2026-08-05 10:00:00,4265.2,2026-08-05 10:15:00,4289.8,XL,1,2457,3,2978.5,-211.5,1
1,2026-08-06 10:45:00,4332.7,2026-08-06 11:30:00,4304.2,XL,1,-2853,3,188.5,-2851.5,3
-1,2026-08-11 10:15:00,4445.8,2026-08-11 11:30:00,4430.7,XS,1,1507,3,1508.5,-1241.5,5
1,2026-08-12 10:00:00,4487.6,2026-08-12 11:45:00,4477.7,scratch,1,-993,3,1218.5,-1361.5,7
-1,2026-08-13 10:00:00,4429.2,2026-08-13 10:30:00,4412.0,XS,1,1717,3,1718.5,-1001.5,2
