window,day,month,fill_ts,direction,risk_pts,dollars,win,exit_reason,r_multiple
pre,2026-04-22,2026-04,2026-04-22T08:29:00-04:00,short,3.25,-75.0,False,stop,-1.0769
pre,2026-04-22,2026-04,2026-04-22T08:37:00-04:00,short,30.0,-610.0,False,stop,-1.0083
golden,2026-04-22,2026-04,2026-04-22T09:50:00-04:00,short,30.25,-615.0,False,stop,-1.0083
pre,2026-04-23,2026-04,2026-04-23T08:03:00-04:00,long,14.5,-315.0,False,stop,-1.069
pre,2026-04-23,2026-04,2026-04-23T08:22:00-04:00,short,23.5,-495.0,False,stop,-1.0426
golden,2026-04-23,2026-04,2026-04-23T09:43:00-04:00,long,22.75,-480.0,False,stop,-1.044
golden,2026-04-23,2026-04,2026-04-23T09:57:00-04:00,short,38.0,-770.0,False,stop,-1.0066
pre,2026-04-24,2026-04,2026-04-24T09:23:00-04:00,short,16.25,1840.0,True,target,5.6769
golden,2026-04-24,2026-04,2026-04-24T09:41:00-04:00,long,47.0,-477.5,False,stop,-1.0053
golden,2026-04-24,2026-04,2026-04-24T09:45:00-04:00,short,45.0,-465.0,False,stop,-1.0222
pre,2026-04-27,2026-04,2026-04-27T08:25:00-04:00,short,25.5,420.0,True,target,0.8333
golden,2026-04-27,2026-04,2026-04-27T09:41:00-04:00,short,32.5,675.0,True,target,1.0462
golden,2026-04-27,2026-04,2026-04-27T09:51:00-04:00,short,51.0,-517.5,False,stop,-1.0049
golden,2026-04-28,2026-04,2026-04-28T09:59:00-04:00,long,48.5,-492.5,False,stop,-1.0052
pre,2026-04-29,2026-04,2026-04-29T08:03:00-04:00,short,8.5,260.0,True,target,1.5588
pre,2026-04-29,2026-04,2026-04-29T08:06:00-04:00,short,16.0,725.0,True,target,2.2812
golden,2026-04-29,2026-04,2026-04-29T09:42:00-04:00,long,2.75,-65.0,False,stop,-1.0909
golden,2026-04-29,2026-04,2026-04-29T09:44:00-04:00,long,0.25,-15.0,False,stop,-2.0
