dir_tv,entry_ts,entry_px,exit_ts,exit_px_tv,signal,qty,pnl,comm,mfe,mae,bars,cal,reason_tv,dow,dir_us,or_hi,or_lo,or_width,entry_min,entry,stop,risk_pts,capped,atr,exit_min,exit_px_us,reason_us,mfe_r,mae_r,bars_held,pnl_pts,pnl_usd,r,_merge
1,2026-06-23 10:00:00,4153.2,2026-06-23 11:45:00,4156.8,scratch,1,357,3,1028.5,-1321.5,7,2026-06-23 00:00:00-04:00,time_stop,1.0,1.0,4146.6,4127.9,18.700000000000728,600.0,4153.200000000001,4127.9,25.30000000000109,False,114.12142857142875,690.0,4156.7,time_stop,0.40711462450588254,-0.5217391304347888,7.0,3.3999999999990904,336.99999999990905,0.1332015810276263,both
1,2026-06-24 10:00:00,4055.0,2026-06-24 10:45:00,4024.9,XL,1,-3013,3,318.5,-3011.5,3,2026-06-24 00:00:00-04:00,stop,2.0,1.0,4035.2,3990.0,45.19999999999982,600.0,4055.0,4025.0,30.0,True,117.25714285714308,645.0,4025.0,stop,0.10666666666666061,-1.1666666666666667,4.0,-30.1,-3013.0,-1.0043333333333333,both
1,2026-06-25 12:00:00,4057.3,2026-06-25 13:45:00,4049.6,scratch,1,-773,3,268.5,-1821.5,7,2026-06-25 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
1,2026-06-26 10:00:00,4088.7,2026-06-26 12:30:00,4102.4,scratch,1,1367,3,2278.5,-571.5,10,2026-06-26 00:00:00-04:00,time_stop,4.0,1.0,4077.3,4059.4,17.90000000000009,600.0,4088.7,4059.4,29.299999999999727,False,113.02857142857162,735.0,4102.3,time_stop,0.7781569965870442,-0.19453924914675327,10.0,13.500000000000364,1347.0000000000364,0.45972696245735456,both
1,2026-06-30 10:00:00,4044.5,2026-06-30 10:15:00,4061.8,XL,1,1727,3,2018.5,-501.5,1,2026-06-30 00:00:00-04:00,target,1.0,1.0,4041.7,4027.2,14.5,600.0,4044.5,4027.2,17.300000000000182,False,99.1642857142859,600.0,4061.8,target,1.1676300578034453,-0.2890173410404594,1.0,17.20000000000018,1717.000000000018,0.992485549132948,both
-1,2026-07-03 10:00:00,4176.5,2026-07-03 10:15:00,4174.8,XS,1,167,3,878.5,-281.5,1,2026-07-03 00:00:00-04:00,target,4.0,-1.0,4184.0,4177.1,6.899999999999636,600.0,4176.5,4184.0,7.5,False,111.18571428571444,600.0,4169.0,target,1.1733333333333575,-0.3733333333333576,1.0,7.4,737.0,0.9826666666666667,both
-1,2026-07-07 11:15:00,4159.6,2026-07-07 13:00:00,4156.8,scratch,1,277,3,1268.5,-11.5,7,2026-07-07 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
-1,2026-07-08 10:15:00,4068.1,2026-07-08 10:45:00,4044.7,XS,1,2337,3,2338.5,-831.5,2,2026-07-08 00:00:00-04:00,target,2.0,-1.0,4091.5,4077.4,14.099999999999909,615.0,4068.1,4091.5,23.40000000000009,False,90.57857142857152,645.0,4044.7,target,1.029914529914522,-0.3547008547008611,3.0,23.30000000000009,2327.000000000009,0.9944444444444445,both
1,2026-07-09 11:45:00,4140.3,2026-07-09 13:30:00,4141.6,scratch,1,127,3,808.5,-581.5,7,2026-07-09 00:00:00-04:00,time_stop,3.0,1.0,4139.6,4129.4,10.200000000000728,705.0,4140.3,4129.4,10.900000000000546,False,92.50000000000007,795.0,4141.6,time_stop,0.7431192660549586,-0.5321100917431093,7.0,1.2000000000001818,117.00000000001818,0.1073394495412957,both
1,2026-07-10 12:00:00,4122.5,2026-07-10 13:45:00,4112.6,scratch,1,-993,3,228.5,-1121.5,7,2026-07-10 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
1,2026-07-14 11:15:00,4097.7,2026-07-14 11:30:00,4083.2,XL,1,-1453,3,108.5,-1451.5,1,2026-07-14 00:00:00-04:00,stop,1.0,1.0,4096.4,4083.3,13.099999999999454,675.0,4097.700000000001,4083.3,14.400000000000546,False,84.66428571428573,690.0,4083.3,stop,0.0763888888888481,-1.6805555555555425,2.0,-14.500000000000545,-1453.0000000000546,-1.0090277777777774,both
1,2026-07-15 10:15:00,4071.4,2026-07-15 10:45:00,4061.8,XL,1,-963,3,158.5,-961.5,2,2026-07-15 00:00:00-04:00,stop,2.0,1.0,4069.7,4061.9,7.799999999999727,615.0,4071.4,4061.9,9.5,False,88.39285714285714,615.0,4061.9,stop,0.16842105263156937,-1.0105263157894642,1.0,-9.6,-963.0,-1.0136842105263157,both
1,2026-07-17 11:15:00,4010.4,2026-07-17 13:00:00,4019.9,scratch,1,947,3,1848.5,-141.5,7,2026-07-17 00:00:00-04:00,time_stop,4.0,1.0,4007.9,3967.1,40.80000000000018,675.0,4010.4,3980.4,30.0,True,82.42857142857143,765.0,4019.6,time_stop,0.6166666666666667,-0.0466666666666697,7.0,9.099999999999818,906.9999999999818,0.3023333333333273,both
1,2026-07-21 10:15:00,4070.6,2026-07-21 12:00:00,4078.4,scratch,1,777,3,1738.5,-491.5,7,2026-07-21 00:00:00-04:00,time_stop,1.0,1.0,4061.7,4048.6,13.099999999999909,615.0,4070.6,4048.6,22.0,False,70.72857142857136,705.0,4078.6,time_stop,0.790909090909095,-0.22272727272727685,7.0,7.9,787.0,0.3577272727272727,both
1,2026-07-22 10:00:00,4159.9,2026-07-22 11:45:00,4165.0,scratch,1,507,3,888.5,-1131.5,7,2026-07-22 00:00:00-04:00,time_stop,2.0,1.0,4152.1,4136.8,15.300000000000182,600.0,4159.900000000001,4136.8,23.100000000000364,False,74.64285714285704,690.0,4165.2,time_stop,0.38528138528136346,-0.4891774891774893,7.0,5.199999999999273,516.9999999999272,0.2238095238094888,both
-1,2026-07-23 10:00:00,4046.0,2026-07-23 11:45:00,4050.7,scratch,1,-473,3,348.5,-1871.5,7,2026-07-23 00:00:00-04:00,time_stop,3.0,-1.0,4070.1,4058.5,11.599999999999909,600.0,4046.0,4070.1,24.09999999999991,False,78.38571428571413,690.0,4050.9,time_stop,0.1452282157676354,-0.7759336099585016,7.0,-5.000000000000091,-503.00000000000904,-0.20871369294606262,both
1,2026-07-24 10:00:00,4070.0,2026-07-24 11:45:00,4075.0,scratch,1,497,3,1518.5,-1161.5,7,2026-07-24 00:00:00-04:00,time_stop,4.0,1.0,4059.5,4047.0,12.5,600.0,4070.0,4047.0,23.0,False,79.69999999999982,690.0,4075.1,time_stop,0.6608695652173834,-0.5043478260869526,7.0,4.999999999999909,496.99999999999096,0.2160869565217352,both
1,2026-07-28 11:45:00,4042.0,2026-07-28 13:30:00,4038.0,scratch,1,-403,3,538.5,-671.5,7,2026-07-28 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
-1,2026-07-29 10:00:00,4005.2,2026-07-29 10:15:00,4002.7,XS,1,247,3,1138.5,-121.5,1,2026-07-29 00:00:00-04:00,target,2.0,-1.0,4075.7,4068.0,7.699999999999818,600.0,4065.0,4075.7,10.699999999999818,False,74.48571428571417,600.0,4054.3,target,1.0373831775701026,-0.13084112149533783,1.0,10.599999999999818,1056.9999999999818,0.9878504672897194,both
1,2026-07-30 10:00:00,4172.2,2026-07-30 11:00:00,4142.1,XL,1,-3013,3,798.5,-3011.5,4,2026-07-30 00:00:00-04:00,stop,3.0,1.0,4157.7,4133.2,24.5,600.0,4172.200000000001,4142.200000000001,30.0,True,78.49285714285705,660.0,4142.200000000001,stop,0.26666666666663635,-1.0100000000000364,5.0,-30.1,-3013.0,-1.0043333333333333,both
1,2026-08-05 10:00:00,4265.2,2026-08-05 10:15:00,4289.8,XL,1,2457,3,2978.5,-211.5,1,2026-08-05 00:00:00-04:00,target,2.0,1.0,4264.8,4252.8,12.0,600.0,4265.200000000001,4252.8,12.400000000000546,False,79.1642857142857,600.0,4277.600000000001,target,2.4032258064514487,-0.1693548387096993,1.0,12.300000000000546,1227.0000000000546,0.9895161290322585,both
1,2026-08-06 10:45:00,4332.7,2026-08-06 11:30:00,4304.2,XL,1,-2853,3,188.5,-2851.5,3,2026-08-06 00:00:00-04:00,stop,3.0,1.0,4332.9,4304.3,28.599999999999454,645.0,4332.700000000001,4304.3,28.400000000000546,False,87.89285714285714,690.0,4304.3,stop,0.06690140845069013,-1.0140845070422724,4.0,-28.500000000000547,-2853.0000000000546,-1.0045774647887322,both
