ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,ob_mid,ob_stop,close
2026-06-19T08:21:00-04:00,3min,short,rejection_block,B2,with_trend,30575.3125,30575.75,30570.0,30575.75,30579.4638,2,"['bb', 'vwap']",False,30574.375,30587.0,30570.0
2026-06-19T08:22:00-04:00,2min,short,rejection_block,B2,with_trend,30575.3125,30576.25,30574.5,30576.25,30578.9832,2,"['bb', 'vwap']",False,30569.0,30576.25,30572.75
2026-06-19T08:24:00-04:00,3min,short,rejection_block,B2,with_trend,30575.3125,30576.5,30571.75,30576.5,30578.6468,2,"['bb', 'vwap']",False,30569.125,30576.5,30571.75
2026-06-19T08:25:00-04:00,5min,short,rejection_block,B2,with_trend,30575.2375,30576.5,30574.5,30576.5,30578.5405,2,"['bb', 'vwap']",False,30569.125,30576.5,30572.0
2026-06-19T08:27:00-04:00,3min,short,rejection_block,B2,with_trend,30574.725,30579.25,30572.0,30579.25,30578.3321,2,"['bb', 'vwap']",False,30573.625,30579.25,30572.0
2026-06-19T08:28:00-04:00,2min,short,rejection_block,B2,with_trend,30574.725,30579.25,30574.75,30579.25,30578.1241,2,"['bb', 'vwap']",False,30575.0,30579.25,30571.75
2026-06-19T08:29:00-04:00,1min,short,rejection_block,B2,with_trend,30574.3,30575.75,30573.5,30575.75,30578.0372,2,"['bb', 'vwap']",False,30572.25,30579.25,30567.5
2026-06-19T08:30:00-04:00,5min,short,rejection_block,B2,with_trend,30573.25,30579.25,30572.5,30579.25,30577.5226,2,"['bb', 'vwap']",False,30570.5,30579.25,30562.5
2026-06-19T08:51:00-04:00,3min,long,displacement,B,counter_trend,30579.9673,30543.75,30543.75,30560.25,30574.2349,2,"['bb', 'vwap']",True,30568.125,30540.25,30595.25
2026-06-19T08:52:00-04:00,2min,long,displacement,B,counter_trend,30580.3571,30546.75,30546.75,30547.25,30574.3649,2,"['bb', 'vwap']",True,30593.125,30543.75,30625.0
2026-06-19T09:08:00-04:00,2min,long,rejection_block,A,counter_trend,30639.375,30635.25,30635.25,30640.0,30635.9188,2,"['bb', 'poc']",False,30644.25,30632.75,30640.0
2026-06-19T09:09:00-04:00,3min,long,rejection_block,A,counter_trend,30639.375,30635.25,30635.25,30642.5,30638.1813,2,"['bb', 'poc']",False,30646.875,30633.0,30648.75
2026-06-19T09:10:00-04:00,5min,long,displacement,B,counter_trend,30642.6125,30634.75,30634.75,30634.75,30640.9938,2,"['bb', 'poc']",False,30644.25,30627.75,30658.5
2026-06-19T09:12:00-04:00,3min,long,rejection_block,A,counter_trend,30646.7625,30644.0,30644.0,30648.5,30643.0687,2,"['bb', 'poc']",True,30648.5,30633.0,30648.5
2026-06-19T09:13:00-04:00,1min,long,rejection_block,A,counter_trend,30646.6875,30645.0,30645.0,30647.0,30643.0312,2,"['bb', 'poc']",False,30654.0,30644.0,30650.0
2026-06-19T09:14:00-04:00,2min,long,rejection_block,A,counter_trend,30646.55,30641.25,30641.25,30647.0,30642.9625,2,"['bb', 'poc']",False,30652.625,30641.25,30647.5
2026-06-19T09:17:00-04:00,1min,short,rejection_block,B2,with_trend,30639.375,30644.25,30640.0,30644.25,30642.525,2,"['bb', 'poc']",False,,,30636.0
2026-06-19T09:18:00-04:00,3min,short,rejection_block,B2,with_trend,30639.375,30654.5,30643.5,30654.5,30642.1063,2,"['bb', 'poc']",False,30643.125,30654.5,30632.75
2026-06-19T09:22:00-04:00,2min,short,rejection_block,B2,with_trend,30639.375,30640.0,30638.5,30640.0,30640.5687,2,"['bb', 'poc']",False,30633.0,30640.0,30638.5
