card_id,tv_replay_datetime,window,direction,shape,trigger_price,second_legs,call(take/skip),why
C185,2026-05-25 03:06 ET,LONDON,DOWN,same_candle,29963.0,"vwap_p1,bb_ma_15m,daily_poc",,
C186,2026-04-29 09:51 ET,NY_AM,UP,same_candle,27217.0,"vwap_m1,daily_val",,
C187,2026-03-03 04:10 ET,LONDON,UP,same_candle,24573.75,daily_val,,
C188,2025-09-24 09:32 ET,NY_AM,DOWN,same_candle,24862.25,"vwap,daily_poc,vwap_p1,bb_ma_15m",,
C189,2026-07-13 10:48 ET,NY_AM,UP,same_candle,29650.0,daily_poc,,
C190,2025-10-27 10:58 ET,NY_AM,DOWN,same_candle,25865.5,vwap_p1,,
C191,2026-01-12 03:15 ET,LONDON,DOWN,same_candle,25716.0,bb_ma_15m,,
C192,2025-10-14 03:38 ET,LONDON,DOWN,same_candle,24622.5,daily_val,,
C193,2025-10-20 09:32 ET,NY_AM,UP,same_candle,25175.25,"vwap_p1,daily_vah,vwap_p2",,
C194,2026-05-05 09:33 ET,NY_AM,UP,sequential,28006.25,"daily_poc,vwap_p1",,
C195,2026-01-13 03:48 ET,LONDON,DOWN,same_candle,25908.5,daily_vah,,
C196,2026-03-02 10:33 ET,NY_AM,DOWN,same_candle,24849.25,"vwap_p1,daily_vah",,
C197,2026-03-16 04:26 ET,LONDON,DOWN,same_candle,24736.75,"bb_ma_15m,vwap_p1",,
C198,2025-09-30 10:30 ET,NY_AM,UP,same_candle,24783.5,"daily_poc,vwap_m1",,
C199,2025-10-20 04:06 ET,LONDON,UP,same_candle,25131.5,daily_vah,,
C200,2025-09-26 04:16 ET,LONDON,UP,same_candle,24652.5,"vwap_p1,daily_poc",,
