day,ft,oos,R,pl,big_R2,reach4,gap_abs,gap_pts,expiry_week,cvd_5,cvd_15,cvd_30,cvd_norm_15,abs_cvd_15,delta_div_15,absorp_15,vol_15,vol_30,stack_bid_bin,stack_ask_bin,absorp_atr,absorp_rel,vol_15_rel,vol_30_rel,stack_bid_exc,stack_ask_exc
2025-10-20,2025-10-20 12:11:00+00:00,False,1.9074074074074077,360.5,False,True,96.75,96.75,False,59.0,33.0,46.0,0.026294820717131476,33.0,0.0,89.64285714285714,1255.0,2506.0,1.0,0.0,2.9367765659604697,0.9389916042906868,0.6534756573808904,0.6158761366429099,0.4,-0.6
2025-10-21,2025-10-21 12:01:00+00:00,False,-1.0357142857142858,-203.0,False,False,11.0,11.0,False,64.0,31.0,-25.0,0.023538344722854973,31.0,0.0,82.3125,1317.0,3517.0,1.0,0.0,3.052901730275685,0.86220752987608,0.6857589169487113,0.8643401327107397,0.4,-0.6
2025-10-22,2025-10-22 12:04:00+00:00,False,-1.0714285714285714,-105.0,False,True,66.0,-66.0,False,63.0,131.0,-15.0,0.03699519909630048,131.0,0.0,77.39890710382514,3541.0,6165.0,1.0,1.0,8.170079518767253,0.7999884711279296,1.9807019997203188,1.742756183745583,0.4,0.41666666666666674
2025-10-23,2025-10-23 12:01:00+00:00,False,0.7575757575757576,50.0,False,False,74.5,-74.5,False,-67.0,-223.0,-332.0,-0.07794477455435163,223.0,0.0,96.16806722689076,2861.0,5338.0,0.0,1.0,6.264310290897717,1.0073419188659594,1.6003356173961685,1.5089752650176678,-0.6,0.41666666666666674
2025-10-23,2025-10-23 12:20:00+00:00,False,-1.022222222222222,-322.0,False,False,74.5,-74.5,False,-77.0,-83.0,-352.0,-0.02634084417645192,83.0,0.0,97.70542635658914,3151.0,6040.0,1.0,1.0,6.899280575539568,1.0234454586412023,1.7625506922108796,1.7074204946996467,0.4,0.41666666666666674
2025-10-27,2025-10-27 12:03:00+00:00,False,-1.05,-315.0,False,False,309.25,309.25,False,86.0,131.0,-86.0,0.07533064979873491,131.0,0.0,95.28767123287672,1739.0,3574.0,1.0,1.0,3.7829312822903316,0.9619098536519902,0.9998562598821331,1.1338832487309645,0.3833333333333333,0.43333333333333335
2025-10-28,2025-10-28 12:12:00+00:00,False,1.0857142857142856,114.0,False,True,37.25,37.25,False,125.0,156.0,157.0,0.10818307905686546,156.0,0.0,88.73846153846154,1442.0,2663.0,1.0,0.0,3.689327485380117,0.8957969005576184,0.8290929998562598,0.8448604060913706,0.4,-0.5666666666666667
2025-10-29,2025-10-29 12:11:00+00:00,False,-1.0555555555555556,-114.0,False,False,115.75,115.75,False,16.0,-16.0,-104.0,-0.009060022650056626,16.0,1.0,138.50980392156862,1766.0,2808.0,0.0,0.0,4.834335435303319,1.3982285797912624,1.0449704142011835,0.9234563841157609,-0.6,-0.5333333333333333
2025-10-30,2025-10-30 12:06:00+00:00,False,-1.0266666666666666,-115.5,False,False,21.75,-21.75,False,30.0,-35.0,5.0,-0.01808785529715762,35.0,1.0,84.1304347826087,1935.0,3223.0,1.0,1.0,5.266073771686835,0.8492797983449502,1.1449704142011834,1.0599358710844364,0.4,0.4666666666666667
2025-10-30,2025-10-30 12:11:00+00:00,False,2.9322033898305087,346.0,True,True,21.75,-21.75,False,-187.0,-170.0,-192.0,-0.07391304347826087,170.0,0.0,74.79674796747967,2300.0,3704.0,0.0,1.0,6.259415852651018,0.7550581094085899,1.3609467455621302,1.2181205294746362,-0.6,0.4666666666666667
2025-10-30,2025-10-30 13:02:00+00:00,False,0.9111111111111112,143.5,False,False,21.75,-21.75,False,-218.0,-739.0,-1140.0,-0.08958661655958298,739.0,0.0,157.1238095238095,8249.0,17296.0,1.0,0.0,22.449531029790545,1.1680454951691992,2.8454639530872714,2.980013783597519,0.4666666666666667,-0.5333333333333333
2025-10-31,2025-10-31 12:01:00+00:00,False,-1.0350877192982455,-118.0,False,False,355.25,355.25,False,-34.0,300.0,326.0,0.11618900077459333,300.0,0.0,89.80869565217391,2582.0,3668.0,1.0,0.0,7.02243807673628,0.9282549821071755,1.4845479373293087,1.1637055837563453,0.3666666666666667,-0.5666666666666667
2025-11-03,2025-11-03 13:01:00+00:00,False,-1.05,-105.0,False,False,161.5,161.5,False,-127.0,-60.0,-240.0,-0.042735042735042736,60.0,1.0,50.5945945945946,1404.0,3062.0,1.0,1.0,4.1955176093916755,0.529020174138338,0.8072445019404916,0.9714467005076142,0.3666666666666667,0.43333333333333335
2025-11-03,2025-11-03 13:55:00+00:00,False,3.311111111111111,968.5,True,True,161.5,161.5,False,-63.0,-29.0,-46.0,-0.013163867453472538,29.0,1.0,108.79012345679013,2203.0,5352.0,0.0,0.0,6.583137673425827,0.9981690667143903,1.0052475473420033,1.2465354605799464,-0.5833333333333333,-0.6166666666666667
2025-11-04,2025-11-04 13:36:00+00:00,False,-1.0294117647058822,-315.0,False,False,367.0,-367.0,False,93.0,55.0,111.0,0.010414694186707063,55.0,1.0,92.24454148471615,5281.0,9101.0,0.0,0.0,16.80413659867038,0.8463603584370147,2.409765001140771,2.119715849540002,-0.5833333333333333,-0.6
2025-11-05,2025-11-05 13:03:00+00:00,False,-0.0061728395061728,-0.5,False,False,52.0,-52.0,False,60.0,150.0,260.0,0.07129277566539924,150.0,0.0,67.328,2104.0,4320.0,1.0,0.0,6.009895434838051,0.7162807524522569,1.2097168319678022,1.3705583756345177,0.3666666666666667,-0.5666666666666667
2025-11-06,2025-11-06 13:22:00+00:00,False,-1.0294117647058822,-140.0,False,False,41.0,41.0,False,70.0,168.0,197.0,0.0935412026726058,168.0,0.0,75.62105263157895,1796.0,3173.0,1.0,1.0,4.981722720293229,0.8174106463112191,1.0326290067557855,1.0066624365482233,0.33333333333333337,0.4666666666666667
2025-11-10,2025-11-10 14:06:00+00:00,False,-1.0666666666666669,-48.0,False,False,381.25,381.25,False,-103.0,-1.0,-367.0,-0.0002727024815925825,1.0,1.0,128.66666666666666,3667.0,6437.0,1.0,1.0,9.26093623162262,0.8431421035278601,0.850466747840204,0.8597856212642335,0.5,0.4666666666666667
2025-11-11,2025-11-11 13:21:00+00:00,False,3.131578947368421,297.5,True,True,116.75,-116.75,False,-37.0,207.0,181.0,0.07125645438898451,207.0,0.0,82.41134751773049,2905.0,4351.0,0.0,1.0,7.250523688550163,0.9572348939845912,1.4929975587819606,1.2338012193392882,-0.6833333333333333,0.43333333333333335
2025-11-12,2025-11-12 13:39:00+00:00,False,-1.054054054054054,-58.5,False,False,148.25,148.25,False,73.0,-60.0,-444.0,-0.02952755905511811,60.0,1.0,108.37333333333333,2032.0,3960.0,0.0,1.0,5.053379518607336,0.9870365636702019,0.6898658971312172,0.7160292921074044,-0.6333333333333333,0.3833333333333333
2025-11-13,2025-11-13 13:34:00+00:00,False,0.3737113402061855,72.5,False,True,52.75,-52.75,False,-220.0,-362.0,-296.0,-0.10456383593298671,362.0,0.0,56.98765432098765,3462.0,5306.0,1.0,1.0,8.495705521472393,0.5301370626669581,1.3374541240100444,1.0305914343983684,0.4,0.4
2025-11-21,2025-11-21 13:01:00+00:00,False,-0.5085714285714286,-44.5,False,False,77.5,77.5,False,-85.0,-661.0,98.0,-0.03823240210538493,661.0,1.0,198.15472779369628,17289.0,33052.0,1.0,1.0,30.582601554109548,2.5416288625897328,7.962694300518135,7.807712750250989,0.25,0.2666666666666667
2025-11-24,2025-11-24 13:06:00+00:00,False,1.25,210.0,False,False,196.5,196.5,False,-4.0,-110.0,-7.0,-0.031108597285067874,110.0,1.0,73.28497409326425,3536.0,5861.0,0.0,0.0,6.44898225044781,0.9399887018769716,1.5813953488372092,1.31841187717917,-0.7666666666666667,-0.75
