ft,day,oos,bar,peak_R,R,pl,resume,cvd_roll_dir,cvd_since_dir,imb_roll_dir,absorp_roll,delta_div_roll
2025-10-31 12:01:00+00:00,2025-10-31,False,16,2.1052631578947367,-1.0350877192982455,-118.0,True,376.0,380.0,0.13447782546494993,83.46268656716418,0.0
2025-11-03 13:01:00+00:00,2025-11-03,False,2,1.05,-1.05,-105.0,True,163.0,42.0,0.1028391167192429,57.11711711711712,0.0
2025-11-03 13:55:00+00:00,2025-11-03,False,2,1.2,3.311111111111111,968.5,True,202.0,273.0,0.06994459833795014,116.68686868686869,0.0
2025-11-05 13:03:00+00:00,2025-11-05,False,3,1.0123456790123457,-0.0061728395061728,-0.5,True,219.0,56.0,0.10374230222643296,51.80368098159509,0.0
2025-11-06 13:22:00+00:00,2025-11-06,False,11,1.1470588235294117,-1.0294117647058822,-140.0,True,311.0,208.0,0.09176748303334317,92.84931506849315,0.0
2025-11-11 13:21:00+00:00,2025-11-11,False,3,2.263157894736842,3.131578947368421,297.5,True,95.0,205.0,0.03061553335481792,88.02836879432624,0.0
2025-11-12 13:39:00+00:00,2025-11-12,False,13,1.054054054054054,-1.054054054054054,-58.5,True,57.0,43.0,0.034275405892964524,109.04918032786885,0.0
2025-11-13 13:34:00+00:00,2025-11-13,False,37,1.9175257731958764,0.3737113402061855,72.5,True,719.0,806.0,0.06818397344713134,122.61627906976744,0.0
2025-11-21 13:01:00+00:00,2025-11-21,False,4,1.6342857142857143,-0.5085714285714286,-44.5,False,412.0,213.0,0.03197268353251591,110.13675213675214,0.0
2025-11-24 13:06:00+00:00,2025-11-24,False,5,1.4047619047619047,1.25,210.0,True,-92.0,38.0,-0.029831387808041506,61.06930693069307,1.0
2025-11-26 13:06:00+00:00,2025-11-26,False,2,1.0909090909090908,2.2045454545454546,679.0,True,506.0,203.0,0.18534798534798536,109.2,0.0
