day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2024-05-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-490,ROTATION,False,192,192,-490
2024-05-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-300,ROTATION,False,325,325,-300
2024-05-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,130,MOMENTUM,True,130,115,130
2024-05-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,131,131,0
2024-05-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-550,ROTATION,False,482,482,-550
2024-05-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-460,FLAT,False,0,-345,-460
2024-05-10,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-475,FLAT,False,0,-195,-475
2024-05-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-465,ROTATION,False,219,219,-465
2024-05-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-640,ROTATION,False,134,134,-640
2024-05-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-100,ROTATION,False,312,312,-100
2024-05-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-245,FLAT,False,0,-70,-245
2024-05-17,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-340,-345
2024-05-20,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,565,-48,565
2024-05-21,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,130,MOMENTUM,True,130,-250,130
2024-05-22,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-250,-290
2024-05-23,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,50,ROTATION,False,325,325,50
2024-05-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-530,FLAT,False,0,-51,-530
2024-05-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-295,FLAT,False,0,-125,-295
2024-05-28,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,142,142,-445
2024-05-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-500,FLAT,False,0,-242,-500
2024-05-30,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,65,-66,65
2024-05-31,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,315,ROTATION,False,1352,1352,315
2024-06-03,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,780,MOMENTUM,True,780,0,780
2024-06-04,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,530,MOMENTUM,True,530,-91,530
2024-06-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-195,ROTATION,False,735,735,-195
2024-06-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,260,MOMENTUM,True,260,219,260
2024-06-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-350,FLAT,False,0,-20,-350
2024-06-10,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,485,MOMENTUM,True,485,341,485
2024-06-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-425,FLAT,False,0,-155,-425
2024-06-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,530,MOMENTUM,True,530,182,530
2024-06-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,305,MOMENTUM,True,305,-200,305
2024-06-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-355,ROTATION,False,82,82,-355
2024-06-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-350,FLAT,False,0,-58,-350
2024-06-18,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-310,ROTATION,False,181,181,-310
2024-06-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-385,FLAT,False,0,0,-385
2024-06-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,340,MOMENTUM,True,340,72,340
2024-06-21,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-110,FLAT,False,0,-110,-295
2024-06-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-465,ROTATION,False,665,665,-465
2024-06-25,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-300,FLAT,False,0,-300,-485
2024-06-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,330,90,330
2024-06-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-360,ROTATION,False,65,65,-360
2024-06-28,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,60,ROTATION,False,142,142,60
2024-07-01,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-145,FLAT,False,0,-145,-640
2024-07-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-460,ROTATION,False,488,488,-460
2024-07-03,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-470,FLAT,False,0,-80,-470
2024-07-04,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,80,80,-205
2024-07-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,620,MOMENTUM,True,620,-548,620
2024-07-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-490,FLAT,False,0,-185,-490
2024-07-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-220,FLAT,False,0,-595,-220
2024-07-10,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,0,-270
2024-07-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-90,FLAT,False,0,-655,-90
